strain,sex,PLT,MPV,animal_id,WBC,RBC,pctNEUT,pctLYMP,pctMONO,pctEOS,HCT,mHGB,MCV,MCH,MCHC,RDW,HDW,pct_Retic,CHOL,HDLD,TG,NEFA,GLU,sodium,potassium,chloride,TBIL,carbon_dioxide,BUN,T4,BMD,TTM,LTM,pctFat,bodyweight,bodylength
C57BL/6J,f,1098,4.7,444677,8.47,9.76,6.1,89.5,1.1,2.7,44.3,15.1,45.4,15.5,34.1,14.2,2.23,5.1,84,63.9,49,0.89,136,151,5.93,118,0.43,18.2,,7.4,0.0469,15.9,12.8,19.5,17.6,0
C57BL/6J,f,1218,5.2,444678,9.27,9.78,8.5,88.1,0.8,1.8,43.2,15,44.2,15.3,34.7,13.2,2.24,4.9,73,56.4,62,1.2,182,150,7.91,119,0.4,15,17,5.1,0.0476,17.5,14,19.9,19.4,0
C57BL/6J,f,989,5,444679,10.3,10.1,5.3,91,0.6,2.2,45.8,15.3,45.4,15.2,33.4,14,2.17,5.4,72,56.1,62,1.19,194,151,6.09,118,0.29,19.8,21,5.8,0.0482,17.3,14.4,16.8,19.1,0
C57BL/6J,f,772,5.1,451208,7.29,9.89,8,85.8,1.9,3.4,47.7,14.8,48.2,15,31,14.3,2.31,9.5,67,55.5,69,1.57,208,148,8.02,115,0.41,17.8,,5,0.0448,15.2,12.3,19.1,17.5,8.1
C57BL/6J,f,769,5.7,451209,11.2,7.55,6.6,89.5,1.3,1.5,35.5,2.5,47,3.3,7.1,14.2,2.38,8.6,65,50.4,93,1.61,224,144,6.78,112,0.43,18.4,34,5.9,0.0434,14.8,11.8,20,16.9,7.9
C57BL/6J,f,1236,6.2,451210,8.36,9.81,5.9,89.4,1.4,2.4,48.7,15.2,49.7,15.5,31.2,15.5,2.31,12.9,84,67.4,65,1.53,149,146,6.24,115,0.38,17.6,24,7.5,0.0452,14.8,11.8,20.4,17.1,8.1
C57BL/6J,f,1381,6.1,451211,8.37,9.84,5.8,89.7,1.6,1.9,46.8,14.8,47.6,15,31.6,14.1,2.26,9,,,,,,147,6.18,116,,17.8,,,0.0446,16,12.8,19.9,18.3,8.2
C57BL/6J,f,884,4.7,452421,9.07,10.3,7.5,87.8,1.5,2,48.7,16.5,47.3,16.1,34,15.4,2.09,4.8,84,68.8,81,1.58,192,,,,0.5,,24,6.9,0.0439,16.8,13,22.9,18.6,8.4
C57BL/6J,f,832,5.3,452423,10.3,10.5,6.8,88.5,1.5,2,48.3,16.8,46.2,16,34.7,13.6,2.08,5.9,77,64,85,1.79,170,,,,0.38,,26,6.7,0.0452,17.5,13.7,21.6,19.6,8.6
C57BL/6J,f,1004,5.2,452425,11.6,10,6,90.1,0.7,1.9,46.3,15.8,46.2,15.8,34.2,14,2.01,4.2,78,64.7,86,1.79,210,,,,0.36,,24,6.2,0.0446,18.9,15.3,19.1,21,8.7
C57BL/6J,f,1020,5.1,452427,8.37,10,6.4,89.4,1.8,1.5,46.7,16.2,46.6,16.1,34.6,14.1,2.08,3.7,94,79.6,94,1.59,157,150,6.98,115,0.49,18.2,25,5.9,0.045,19.3,15.4,20.1,21.3,8.7
C57BL/6J,f,993,5.5,453931,9.52,10.2,10.3,86.6,0.9,1.2,48.6,16.7,47.6,16.3,34.3,14.2,2.15,5.9,80,79.7,98,2.54,187,142,8.84,112,0.33,16.4,,6.4,0.0488,18.7,14.9,20.5,20.6,8.9
C57BL/6J,f,,,453933,,,,,,,,,,,,,,,,,,,,144,6.88,115,,15,,,,,,,,
C57BL/6J,f,1007,5.5,453935,10.1,10.3,6.6,90,1,1.8,49.5,16.8,48,16.3,33.9,15.1,2.15,6.1,64,64.4,79,2.29,205,139,6.6,114,0.45,14.6,24,5.9,0.0466,18.2,15.1,17.6,20.5,8.7
