strain,sex,PLT,MPV,animal_id,GLU,CHOL,HDL,TG,RBC,WBC,pctLYMP,pctNEUT,pctMONO,pctBASO,pctEOS,pctLUC,pctRetic,RDW,MCV,MCH,MCHC,CHCM,HDW,mHGB,cHGB,HCT,systolic_BP,pulse,HR,CV,R_amplitude,RS_amplitude,RR,PQ,PR,QRS,QT,QTc,QT_dispersion,QTc_dispersion,ST,BMD,BMC,bone_area,total_area,LTM,pct_fat,TTM,bw
C57BL/6J,f,923,4.6,BBF1F01,195,76,65.9,92,9.79,9.59,90.6,6.7,0.6,0.4,0.9,0.8,5.6,16.1,44.7,14.9,33.2,32.6,2,14.6,14.3,43.8,,,747,1.7,387.69,517.5,80.3,23.9,31.3,10.8,41,45.8,22.5,25.4,30.8,0.05,0.2,4.4,10.61,8.2,22.05,11.28,23.62
C57BL/6J,f,1014,4.7,BBF1F02,186,81,69.7,66,10.54,9.13,89,7.8,1,0.2,1,1,5.9,15.6,46.4,14.6,31.5,31.8,1.94,15.4,15.5,48.9,,,722,2.1,364.1,530.15,83.1,23.9,30.9,10.4,41.9,46,28.5,31.9,32.1,0.06,0.23,4.78,10.16,8.25,18.69,10.51,22.32
C57BL/6J,f,1095,4.5,BBF1F03,156,82,73.4,85,9.89,10.74,87.5,8.1,1.3,0.3,1.5,1.2,3.9,15.6,44,14.5,32.9,32.7,1.98,14.3,14.3,43.6,,,719,1.74,269.2,387.16,83.5,18.3,22.7,8.8,45.8,50.2,2.5,2.9,37.5,0.06,0.2,4.37,9.16,7,19.08,9.35,19.61
C57BL/6J,f,936,4.8,BBF1F04,195,77,64.6,91,9.77,11.3,89.7,5.8,0.6,0.4,1.8,1.7,3.2,16.3,48.2,15.3,31.7,31.1,2.41,14.9,14.6,47,,,740,1.2,476.06,596.88,81.1,26.6,32.9,9.9,40.9,45.4,23.5,26.2,31.5,0.06,0.26,5.43,10.97,9,15.97,11.14,24.57
C57BL/6J,f,1078,4.7,BBF1F05,189,81,70.4,74,9.76,10.34,91.5,5.7,0.4,0.4,1.3,0.6,2.5,16.2,46.8,15.2,32.4,31.6,2.46,14.8,14.5,45.7,,,792,1.46,678.16,661.59,75.7,24.3,30.5,10.2,39.9,45.9,21.5,24.2,30.3,0.06,0.25,5.07,10.29,8.45,14.37,10.42,22.77
C57BL/6J,m,1083,4.5,BBF1M01,233,104,92.2,77,10.31,9.6,84.9,10.6,1.4,0.2,1.5,1.3,3,14.9,45.1,14.5,32.2,32.1,1.83,15,14.9,46.5,,,689,2.34,427.54,503.61,87.2,22.5,29.5,10.4,42.4,45.5,13.5,14.4,32.5,0.05,0.22,4.75,12.1,10.3,23.66,14.15,29.57
C57BL/6J,m,1151,4.5,BBF1M02,250,106,93.1,125,10.41,8.94,89.3,6.7,1.1,0.4,1.7,0.9,2.6,15,45.3,14.4,31.9,32.2,1.83,15,15.2,47.1,,,781,0.48,417.4,582.15,76.8,22.8,29.7,10.2,40.6,46.3,20,22.9,30.9,0.05,0.22,4.54,13.08,10.85,27.5,16.18,33.46
C57BL/6J,m,1125,4.6,BBF1M03,229,102,89.8,91,10.4,10.91,86.8,8.8,1.4,0.2,1.7,1.2,2.9,14,46.2,14.6,31.7,31.4,1.72,15.2,15.1,48,,,768,0.8,453.32,560.31,78.2,23.4,30.6,10.7,40.4,45.7,20,22.8,30.1,0.05,0.2,4.62,10.51,9.1,21.42,11.94,24.96
C57BL/6J,m,1178,4.9,BBF1M04,237,106,95.8,95,9.33,8.47,85.2,10.4,0.5,0.4,1.2,2.3,3.6,16.9,48.6,15.2,31.2,30.6,2.4,14.2,13.9,45.3,,,791,1.25,360.61,477.47,75.8,23.3,30.4,10.2,39.8,45.7,22,24.8,30.1,0.06,0.27,5.43,11.46,11.2,15.28,13.59,29.09
C57BL/6J,m,1222,4.6,BBF1M05,235,119,107.3,124,9.4,7.37,84.7,9.8,1.5,0.2,1.6,2.3,2.3,15.1,46.8,15.1,32.2,31.3,2.44,14.2,13.8,43.9,,,802,0.54,396.37,488.8,74.9,23.4,30.3,10.2,39.5,45.7,22.5,26.1,29.8,0.06,0.27,5.3,12.25,11.7,19.9,14.88,31.81
