Dataset,Age,sex,PLT,MPV,Bodyweight,BMD,BMC,PctFat
CGDpheno1,11,f,1098,4.7,17.6,0.0469,,19.5
CGDpheno1,11,f,1218,5.2,19.4,0.0476,,19.9
CGDpheno1,11,f,989,5,19.1,0.0482,,16.8
CGDpheno1,11,f,772,5.1,17.5,0.0448,,19.1
CGDpheno1,11,f,769,5.7,16.9,0.0434,,20
CGDpheno1,11,f,1236,6.2,17.1,0.0452,,20.4
CGDpheno1,11,f,1381,6.1,18.3,0.0446,,19.9
CGDpheno1,11,f,884,4.7,18.6,0.0439,,22.9
CGDpheno1,11,f,832,5.3,19.6,0.0452,,21.6
CGDpheno1,11,f,1004,5.2,21,0.0446,,19.1
CGDpheno1,11,f,1020,5.1,21.3,0.045,,20.1
CGDpheno1,11,f,993,5.5,20.6,0.0488,,20.5
CGDpheno1,11,f,,,,,,
CGDpheno1,11,f,1007,5.5,20.5,0.0466,,17.6
CGDpheno1,11,f,1007,5.4,20.9,0.0491,,18.4
CGDpheno1,11,f,900,5.2,19.2,0.0444,,20.7
CGDpheno1,11,f,693,4.5,18.3,0.0457,,18.1
CGDpheno1,11,f,803,5.1,20.1,0.0469,,19
CGDpheno1,11,f,1011,6,19.4,0.0459,,25.5
CGDpheno1,11,f,975,6.3,20.3,0.0477,,18.2
CGDpheno1,11,f,1037,5.9,20.1,0.0496,,17.7
CGDpheno1,11,f,952,6.1,20.1,0.0461,,17.3
CGDpheno1,11,f,1076,5.3,20.8,0.046,,20.7
CGDpheno1,11,f,841,4.8,19.8,0.0431,,17.7
CGDpheno1,11,f,1048,5.5,119,0.0443,,17.2
CGDpheno1,11,f,1026,5.4,19.6,0.0425,,16.9
CGDpheno1,11,f,1215,5.8,29.8,0.0514,,15.4
CGDpheno1,11,f,1239,5.9,29.8,0.0527,,17.9
CGDpheno1,11,f,1104,5.6,26.7,0.0478,,18.1
CGDpheno1,11,f,1279,5.7,28,0.0499,,14.9
CGDpheno1,11,f,1066,5.3,,,,
CGDpheno1,11,f,1208,5.2,,,,
CGDpheno1,11,f,1071,5.3,,,,
CGDpheno1,11,f,1138,5.4,,,,
CGDpheno1,11,f,,,19.1,0.0453,,17.9
CGDpheno1,11,f,250,4.8,19.8,0.0464,,19.5
CGDpheno1,11,f,,,21.4,0.0481,,15.6
CGDpheno1,11,f,368,4.6,19.8,0.047,,21.5
CGDpheno1,11,f,1024,5.6,20.8,0.0463,,19.5
CGDpheno1,11,f,850,4.9,19,0.0456,,18
CGDpheno1,11,f,,,21.3,0.0493,,19.9
CGDpheno1,11,f,978,5.6,20.7,0.0475,,19.8
CGDpheno1,11,f,823,4.5,26.1,0.0481,,22.2
CGDpheno1,11,f,1083,5.4,23.3,0.0464,,17.6
CGDpheno1,11,f,1181,5.7,26.7,0.0472,,19.1
CGDpheno1,11,f,1294,5.6,24.9,0.0471,,17.6
CGDpheno1,11,f,966,5.2,22.2,0.0489,,18.2
CGDpheno1,11,f,990,5.4,20.4,0.0486,,18.7
CGDpheno1,11,f,935,5.4,20.3,0.0456,,19.3
CGDpheno1,11,f,907,5.3,21.3,0.0476,,19.4
CGDpheno1,11,f,1022,5.9,,,,
CGDpheno1,11,f,1082,6.1,,,,
CGDpheno1,11,f,942,5.2,,,,
CGDpheno1,11,f,862,4.8,,,,
CGDpheno1,11,f,999,6,22.3,0.047,,22.3
CGDpheno1,11,f,,,21,0.0445,,17.3
CGDpheno1,11,f,819,5,19.1,0.0426,,15.4
CGDpheno1,11,f,1073,5.4,19.4,0.0457,,14.4
CGDpheno1,11,f,835,5.7,19.4,0.0461,,19.8
CGDpheno1,11,f,1076,5.5,21.9,0.0481,,18.6
CGDpheno1,11,f,1065,5.6,20.8,0.049,,13.1
CGDpheno1,11,f,1032,5.5,18.8,0.0473,,17.6
CGDpheno1,11,f,,,20.6,0.0462,,22
CGDpheno1,11,f,1017,5.8,19,0.0451,,18.6
CGDpheno1,11,f,833,4.7,21.6,0.0502,,15.2
CGDpheno1,11,f,521,5,19.9,0.0481,,15.4
CGDpheno1,11,f,1093,5.8,21.4,0.0469,,20.2
CGDpheno1,11,f,1041,5.7,19.8,0.0471,,17.7
CGDpheno1,11,f,969,5,20.1,0.0491,,18
CGDpheno1,11,f,989,4.9,20,0.0477,,15.8
CGDpheno1,11,f,571,4.5,24.7,0.0495,,23.9
CGDpheno1,11,f,263,5.8,22.1,0.048,,19.8
CGDpheno1,11,f,,,21.8,0.0481,,14.6
CGDpheno1,11,f,735,4.5,23.1,0.0526,,19.6
CGDpheno1,11,f,,,20.6,0.0452,,17.4
CGDpheno1,11,f,709,5,23.3,0.0455,,16.8
CGDpheno1,11,f,418,4.7,20.5,0.0484,,15.1
CGDpheno1,11,f,80,7.6,20.2,0.0472,,15.2
CGDpheno1,11,f,596,5.7,24.2,0.0501,,25.6
CGDpheno1,11,f,987,6.2,21.5,0.0474,,20.7
CGDpheno1,11,f,942,5.7,20.1,0.0476,,13.9
CGDpheno1,11,f,512,5.8,20.5,0.0479,,18.2
CGDpheno1,11,f,387,4.7,22.3,0.0462,,19.8
CGDpheno1,11,f,,,18.8,0.0442,,16.5
CGDpheno1,11,f,,,,,,
CGDpheno1,11,f,665,4.4,,,,
CGDpheno1,11,f,1034,5,,,,
CGDpheno1,11,f,1144,5,21.2,0.0488,,18.1
CGDpheno1,11,f,616,4.8,22.1,0.0584,,18.1
CGDpheno1,11,f,994,5.1,20.1,0.0527,,17.5
CGDpheno1,11,f,887,5.9,,,,
CGDpheno1,11,f,942,5.1,21.4,0.0461,,17.3
CGDpheno1,11,f,1035,5.4,21.6,0.0514,,16
CGDpheno1,11,f,913,5.3,20.2,0.0484,,16.3
CGDpheno1,11,f,1124,6.4,8.4,0.0484,,19.9
CGDpheno1,11,f,1092,6.4,22.6,0.0508,,21.4
CGDpheno1,11,f,1125,5.9,20.5,0.0488,,19.4
CGDpheno1,11,f,1251,5.7,20.5,0.0479,,13.3
CGDpheno1,11,f,842,5,19.8,0.0459,,22.3
CGDpheno1,11,f,796,4.8,20.8,0.049,,17.4
CGDpheno1,11,f,1085,4.8,22.4,0.0493,,22.3
CGDpheno1,11,f,1181,5.3,20.8,0.0478,,15.9
CGDpheno1,11,f,396,4.9,22,0.0473,,16
CGDpheno1,11,f,1150,5.3,26.4,0.0512,,26.7
CGDpheno1,11,f,1348,6.4,20.3,0.0503,,20.4
CGDpheno1,11,f,1279,6.1,,,,
CGDpheno1,11,f,1169,6.3,20.4,0.0461,,17.9
CGDpheno1,11,f,1242,6.8,20.7,0.0465,,16
CGDpheno1,11,f,857,6.1,19.4,0.0456,,10.9
CGDpheno1,11,f,1239,5.5,,,,
CGDpheno1,11,f,1248,5.6,,,,
CGDpheno1,11,f,1244,5.6,,,,
CGDpheno1,11,f,1185,5.3,,,,
CGDpheno1,11,f,1282,6.9,19,0.045,,17.1
CGDpheno1,11,f,1267,7,22.6,0.0482,,21.2
CGDpheno1,11,f,1181,6.9,21.9,0.0459,,23.4
CGDpheno1,11,f,1301,7.1,21,0.0455,,17.4
CGDpheno1,11,f,1329,6,21.3,0.0521,,14.5
CGDpheno1,11,f,1144,5.1,21.2,0.0552,,21.2
CGDpheno1,11,f,1103,6.7,17.8,0.0427,,18.1
CGDpheno1,11,f,1165,7,21.4,0.0477,,20.2
CGDpheno1,11,f,1372,6.7,20.9,0.047,,19.8
CGDpheno1,11,f,1264,6.8,21.4,0.0483,,19.2
CGDpheno1,11,f,916,6.5,21.7,0.0494,,19.6
CGDpheno1,11,f,1006,6.6,21.6,0.0485,,18.8
