strain,animal_id,age,sex,PLT,MPV,WBC,RBC,NEUT,LYMPH,MONO,EOS,BASO,pct_NEUT,pct_LYMPH,pct_MONO,pct_EOS,pct_BASO,Retic,pct_Retic,HCT,MCV,HGB,CHr,MCH,MCHC
C57BL/6J,12-309,8,f,489,5.4,5.08,10.7,0.33,4.5,0.07,0.13,0.01,6.6,88.5,1.3,2.6,0.2,478,4.5,51.8,48.4,17,16.4,15.9,32.9
C57BL/6J,8-291,8,f,586,5.7,4.05,11.3,0.24,3.65,0.03,0.08,0.01,6,90,0.8,2,0.2,516,4.6,54.7,48.3,17.6,16.7,15.6,32.2
C57BL/6J,19-316,8,f,713,6.9,2.16,8.96,0.16,1.89,0.02,0.07,0,7.5,87.7,0.8,3.3,0.2,378,4.2,43.1,48.1,16.6,15.7,18.6,38.5
C57BL/6J,9-295,8,f,713,6.9,2.16,8.96,0.16,1.89,0.02,0.07,0,7.5,87.7,0.8,3.3,0.2,378,4.2,43.1,48.1,16.6,15.7,18.6,38.5
C57BL/6J,10-301,8,f,813,5.6,3.67,10.9,0.35,3.16,0.03,0.08,0.02,9.6,86.2,0.7,2.3,0.4,326,3,52.1,47.6,17,16,15.5,32.6
C57BL/6J,15-312,8,f,849,6.7,3.34,11.3,0.2,2.8,0.02,0.3,0.01,5.9,83.8,0.7,8.9,0.3,475,4.2,54.6,48.4,17.7,15.5,15.7,32.4
C57BL/6J,5-271,8,f,849,6.7,3.34,11.3,0.2,2.8,0.02,0.3,0.01,5.9,83.8,0.7,8.9,0.3,475,4.2,54.6,48.4,17.7,15.5,15.7,32.4
C57BL/6J,1-242,8,f,873,6.6,4.01,11.1,0.24,3.68,0.02,0.05,0,5.9,91.9,0.5,1.4,0.1,325,2.9,53.9,48.6,17.3,15.7,15.6,32.1
C57BL/6J,2-250,8,f,884,5.8,6.24,10.9,0.37,5.57,0.04,0.18,0.02,6,89.2,0.7,3,0.3,342,3.1,51.5,47.3,16.7,16.4,15.3,32.4
C57BL/6J,4-263,8,f,890,6.5,3.44,10.9,0.21,3.16,0.03,0.02,0.01,6.1,91.8,0.8,0.6,0.4,459,4.2,53.3,49,17.2,15.4,15.8,32.2
C57BL/6J,13-310,8,f,894,7.3,2.55,10.7,0.18,2.28,0.02,0.06,0,7,89.5,0.8,2.4,0,401,3.7,51.5,48.1,17,15.7,15.9,33
C57BL/6J,3-255,8,f,894,7.3,2.55,10.7,0.18,2.28,0.02,0.06,0,7,89.5,0.8,2.4,0,401,3.7,51.5,48.1,17,15.7,15.9,33
C57BL/6J,11-307,8,f,912,6.3,7.14,11,0.48,6.29,0.06,0.25,0.01,6.7,88.1,0.9,3.5,0.1,331,3,52.9,48.2,17.1,16.2,15.6,32.3
C57BL/6J,2-326,8,m,913,7.8,2.39,9.89,0.25,2.04,0.02,0.07,0,10.4,85.3,0.7,3.1,0.1,466,4.7,49.3,49.9,15.2,15.7,15.3,30.8
C57BL/6J,2-249,8,f,914,6.8,3.79,10.7,0.32,3.28,0.02,0.15,0,8.5,86.4,0.5,3.8,0.1,426,4,52.5,48.9,17,15.8,15.8,32.4
C57BL/6J,2-325,8,m,933,5.8,1.71,11,0.09,1.47,0.11,0,0,5,86.1,6.6,0,0.3,418,3.8,53.1,48.1,16.8,16.2,15.2,31.6
C57BL/6J,7-285,8,f,935,6.1,4.33,10.7,0.44,3.62,0.06,0.17,0.01,10.3,83.5,1.4,3.9,0.2,386,3.6,50.8,47.4,16.7,16,15.6,32.9
C57BL/6J,3-257,8,f,944,6.3,5.47,10.9,0.36,4.86,0.05,0.13,0.02,6.5,88.9,1,2.4,0.3,295,2.7,51,47,16.5,16,15.2,32.4
C57BL/6J,1-243,8,f,948,6.2,8.67,11.3,0.57,7.62,0.13,0.2,0.03,6.5,87.9,1.5,2.3,0.4,350,3.1,53.4,47.4,17.5,16.5,15.5,32.8
C57BL/6J,7-284,8,f,956,6.8,4.12,11.1,0.24,3.6,0.03,0.23,0.01,5.9,87.2,0.7,5.6,0.2,481,4.3,55.2,49.9,17.7,15.9,16,32
C57BL/6J,4-339,8,m,982,6,1.73,11.2,0.25,1.38,0.02,0.05,0.01,14.6,80.1,0.9,3.1,0.4,452,4,53.6,48,17.1,16.2,15.3,31.9
C57BL/6J,9-296,8,f,984,6.5,3.47,10.8,0.33,3.03,0.02,0.07,0.02,9.5,87.2,0.6,2.1,0.4,445,4.1,51.1,47.5,16.9,15.7,15.7,33
C57BL/6J,10-302,8,f,990,6.6,3.88,11.1,0.25,3.48,0.03,0.1,0.02,6.4,89.5,0.7,2.6,0.4,404,3.7,52.7,47.6,17,15.8,15.4,32.3
C57BL/6J,2-328,8,m,1001,7.6,3.18,9.77,1.23,1.73,0.09,0.06,0.01,38.8,54.3,2.8,1.9,0.2,525,5.4,49.6,50.7,15.2,15.5,15.6,30.7
C57BL/6J,12-308,8,f,1011,7.2,3.06,10.8,0.23,2.75,0,0.04,0.01,7.5,89.9,0.1,1.4,0.3,429,4,51.5,47.7,17.2,15.8,15.9,33.4
C57BL/6J,2-248,8,f,1011,7.2,3.06,10.8,0.23,2.75,0,0.04,0.01,7.5,89.9,0.1,1.4,0.3,429,4,51.5,47.7,17.2,15.8,15.9,33.4
C57BL/6J,5-347,8,m,1020,7.8,3.1,10.5,1.96,0.96,0.12,0.04,0,63.3,30.9,3.9,1.4,0.1,390,3.7,51.3,48.9,15.8,15.5,15.1,30.8
C57BL/6J,9-369,8,m,1020,6.1,1.08,10.8,0.24,0.8,0.02,0.01,0,22.3,74.3,1.7,1.3,0.1,377,3.5,52.8,48.8,16.6,16.2,15.4,31.5
C57BL/6J,9-297,8,f,1023,6.3,4.37,10.9,0.32,3.86,0.04,0.12,0,7.2,88.3,0.9,2.8,0.1,341,3.1,51.8,47.4,17,16.3,15.5,32.8
C57BL/6J,14-311,8,f,1024,7,1.93,10.7,0.15,1.71,0.01,0.06,0,7.8,88.4,0.6,3,0.2,395,3.7,51,47.8,16.8,15.5,15.7,32.9
