strain,sex,animal_id,sodium,potassium,magnesium,K_Cl,Na_K_pump,Na_H_exchange,gardos_channel,MCV,CHCM,MCH,retic
129S1/SvImJ,f,5631,17.75,373.07,7.47,8.27,,,,48.3,30.3,14.6,2.27
129S1/SvImJ,f,5632,16.51,376.17,7.82,4.66,,,,47.3,30.7,14.5,2.31
129S1/SvImJ,f,5633,16.13,349.57,7.52,3.23,,,,47.3,30.8,14.5,1.67
129S1/SvImJ,f,5634,15.93,354.38,7.71,2.52,,,,47.1,30.7,14.4,2.11
129S1/SvImJ,f,5635,15.52,363.39,7.73,3.76,,,,47.1,30.8,14.5,1.27
129S1/SvImJ,f,5636,16.68,393.47,8.06,5.21,,,,48.2,30.4,14.7,3.97
129S1/SvImJ,f,5637,16.75,376.6,8.16,4.15,,,,47,30.6,14.4,2.54
129S1/SvImJ,f,5638,17.69,376.12,7.94,5.46,,,,47,30.9,14.5,3.55
129S1/SvImJ,f,5639,15.96,353.59,7.09,4.82,,,,48,30.8,14.8,3.55
129S1/SvImJ,f,5640,16.82,379.68,8.13,,,,,47.6,30.7,14.6,3.57
129S1/SvImJ,f,5641,14.57,347.72,6.5,,23.31,67.7,,47.6,31.2,14.9,1.49
129S1/SvImJ,f,5642,14.17,351.54,6.96,,25.63,65.5,,47.2,31.1,14.7,1.83
129S1/SvImJ,f,5643,16.13,362.48,7.38,,36.79,,,46.8,31.4,14.7,3.29
129S1/SvImJ,f,5644,15.67,371.63,7.63,,26.65,59.9,,47.3,31.1,14.7,2.93
129S1/SvImJ,f,5645,16.42,339.24,7.13,,21.06,61.5,,47,31.6,14.8,3.24
129S1/SvImJ,f,5646,15.69,364.55,7.71,,31.79,64.7,,47.1,31.4,14.8,3.35
129S1/SvImJ,f,5647,14.42,329.07,6.66,,29.46,69.5,,46.9,31.3,14.7,2.82
129S1/SvImJ,f,5648,16.46,372.76,7.85,,24.44,55,,46.3,31.8,14.7,2.48
129S1/SvImJ,f,5649,16.11,384.22,8.53,,27.64,53.8,,47,31.3,14.7,3.13
129S1/SvImJ,f,5661,15.51,390.17,3.38,,,,0.02,47.9,30.3,14.4,2.24
129S1/SvImJ,f,5662,15.05,384.03,4.13,7.06,,,0.033,47.8,30.9,14.6,3.57
129S1/SvImJ,f,5663,14.61,371.97,4.4,7.15,,,0.027,47.6,30.9,14.6,3.24
129S1/SvImJ,f,5666,15.78,399.18,0.19,,,,0.018,47,29.6,13.9,2.98
129S1/SvImJ,f,5667,14.52,391.83,2.01,,,,0.015,47.5,29.5,14,1.31
129S1/SvImJ,f,5668,17.87,380.39,4.76,,27.04,47.5,,42.8,27.7,11.9,1.3
129S1/SvImJ,f,5669,21.13,413.51,6.09,,23.99,,,42.5,26.9,11.4,2.22
129S1/SvImJ,f,5670,20.29,386.66,6.61,6.32,,,,49.5,27.6,13.7,1.63
129S1/SvImJ,f,5671,17.38,378.98,6.48,5.98,,,0.021,49.6,27.2,13.4,1.69
129S1/SvImJ,f,5672,17.04,368.48,6.45,5.94,,,,49.5,27.2,13.4,1.61
129S1/SvImJ,f,5673,19.26,426.55,8.15,9.11,,,0.016,48.6,26.8,13,2.33
129S1/SvImJ,f,5674,21.57,398.79,7.21,6.75,,,0.011,49.5,27.4,13.6,2.3
129S1/SvImJ,f,5675,17.4,381.82,6.35,4.97,,,0.021,51,27.1,13.8,1.64
129S1/SvImJ,f,5676,17.62,379.66,7.44,5.44,,,0.019,49.4,27,13.3,2.35
129S1/SvImJ,m,5601,16.91,423.79,7.92,5.22,,,,47.8,28.6,13.7,2.18
129S1/SvImJ,m,5602,15.71,410.02,8.01,8.13,,,,48.7,28.1,13.7,3.11
129S1/SvImJ,m,5603,16.99,410.32,7.62,3.92,,,,47.8,28.6,13.6,2.76
129S1/SvImJ,m,5604,16.91,423.79,7.92,3.8,,,,47.8,28.6,13.7,2.51
129S1/SvImJ,m,5605,17.68,413.22,8.03,6.4,,,,47.4,28.4,13.5,2.63
129S1/SvImJ,m,5606,17.9,432.04,6.78,,35.57,69.28,,48.6,28.4,13.8,1.08
129S1/SvImJ,m,5607,18.29,436.98,7,,28.91,51.34,,49.6,28.1,13.9,1.2
129S1/SvImJ,m,5608,17.54,399.35,7.54,,35.49,62.69,,48.1,28.4,13.6,2.66
129S1/SvImJ,m,5609,18.98,442.29,8.98,,31.5,42.26,,47.3,28.8,13.6,2.65
129S1/SvImJ,m,5610,18.5,434.16,8.61,,37.58,47.91,,47.5,28.9,13.7,2.49
