Param,,,Bone Mineral Density,blood urea nitrogen,Total cholesterol,carbon dioxide,chloride,Eosinophil Count,Glucose,Hematocrit,HDL cholesterol,Hemoglobin concentration distribution width,Lean Tissue Mass,lymphocyte count,mean RBC corpuscular hemoglobin Content,mean RBC Corpuscular hemoglobin concentration,Mean RBC Corpuscular Volume,monocyte count,Mean Platelet Volume,non-esterified free fatty acids,neutrophil count,platelet count,potassium,Red blood cell count,RBC corpuscular distribution width,Reticulocyte Count,Sodium,body length,body weight,Thyroxine,total bilirubin,Triglycerides,Total Tissue Mass,White Blood Cell Count,Measured Hemaglobin,Eosinophil Differential,Percent Fat,Lyphocyte Differential,Monocyte Differential,Neutrophil Differential,Reticulocyte differential
units,,,g/cm^2,mg/dL,mg/dL,mmol/L,mmol/L,n/無,mg/dL,%,mg/dL,g/dL,g,n/無,pg,g/dL,fL,n/無,fL,mEq/L,n/無,n/無,mmol/L,n/無,%,n/無,mmol/L,cm,g,痢/dL,痠ol/L,mg/dL,g,n/無,g/dL,%,%,%,%,%,%
age (wks),,,13,12,12,12,12,11,12,11,12,11,13,11,11,11,11,11,11,12,11,11,12,11,11,11,12,13,13,12,12,12,13,11,11,11,13,11,11,11,11
strain,sex,id,BMD,BUN,CHOL,carbon_dioxide,chloride,EOS,GLU,HCT,HDLD,HDW,LTM,LYMP,MCH,MCHC,MCV,MONO,MPV,NEFA,NEUT,PLT,potassium,RBC,RDW,Retic,sodium,bodylength,bodyweight,T4,TBIL,TG,TTM,WBC,mHGB,pctEOS,pctFat,pctLYMP,pctMONO,pctNEUT,pct_Retic
129S1/SvImJ,f,455477,0.0528,18,116,17.7,118,0.31,126,48.8,103,2.36,13.9,5.65,16.7,34.4,48.7,0.1,5.8,2.09,1.08,1012,7.47,10,18.2,440,152,8.9,20,4.2,0.27,86,18.1,7.17,16.8,4.3,23.3,78.8,1.4,15,4.4
129S1/SvImJ,f,455479,0.0531,14,94,20.1,117,,161,,90.2,,15.1,,,,,,,1.88,,,7.03,,,,147,9,21,4.7,0.23,96,19.1,,,,20.9,,,,
129S1/SvImJ,f,455481,0.0506,18,104,16.1,117,0.5,145,47.9,97,2.23,13.3,8.14,16.1,34.6,46.5,0.2,4.8,1.72,0.85,778,6.95,10.3,14.1,309,148,8.6,19.3,4,0.43,75,17.4,9.76,16.6,5.1,23.4,83.4,2,8.7,3
129S1/SvImJ,f,455483,0.0507,16,114,13.3,117,0.36,142,48.6,101,2.29,13,8.4,16.1,35,45.9,0.2,5.7,1.62,1.36,910,7.93,10.6,14.5,445,149,8.7,18.8,5,0.22,59,16.8,10.4,17,3.5,22.9,80.8,1.9,13.1,4.2
129S1/SvImJ,f,455485,0.0513,20,102,15.1,121,0.37,121,49.1,94.7,2.42,12.5,4.43,16.4,34.7,47.1,0.11,5.9,1.53,0.74,874,9.03,10.4,16.1,676,152,9,18,5.5,0.44,47,15.8,5.69,17.1,6.5,20.8,77.9,1.9,13,6.5
129S1/SvImJ,f,455487,0.0472,19,98,18.7,120,0.22,130,47.9,90.2,2.22,12.2,5.45,16.4,34.6,47.4,0.13,5.5,1.92,0.88,816,6.89,10.1,15.1,556,152,8.3,17.2,3.9,0.37,64,15.5,6.72,16.6,3.3,21.4,81.1,2,13.1,5.5
129S1/SvImJ,f,455489,0.0501,19,93,18.3,118,0.45,143,48.7,86.9,2.38,13.1,5.26,16.3,34.8,47,0.23,5.8,1.33,1,696,7.05,10.3,15.2,474,150,8.7,18.2,4.2,0.53,43,16.1,6.97,16.9,6.4,18.8,75.4,3.3,14.4,4.6
