strain,sex,animal_id,WBC,RBC,pctNEUT,pctLYMP,pctMONO,pctEOS,PLT,MPV,HCT,mHGB,MCV,MCH,MCHC,RDW,HDW,pct_Retic,CHOL,HDLD,TG,NEFA,GLU,sodium,potassium,chloride,TBIL,carbon_dioxide,BUN,T4,BMD,TTM,LTM,pctFat,bodyweight,bodylength
129S1/SvImJ,f,455477,7.17,10,15,78.8,1.40,4.30,1012,5.80,48.8,16.8,48.7,16.7,34.4,18.2,2.36,4.40,116,103,86,2.09,126,152,7.47,118,0.270,17.7,18,4.20,0.0528,18.1,13.9,23.3,20,8.90
129S1/SvImJ,f,455479,,,,,,,,,,,,,,,,,94,90.2,96,1.88,161,147,7.03,117,0.230,20.1,14,4.70,0.0531,19.1,15.1,20.9,21.0,9
129S1/SvImJ,f,455481,9.76,10.3,8.70,83.4,2,5.10,778,4.80,47.9,16.6,46.5,16.1,34.6,14.1,2.23,3,104,97,75,1.72,145,148,6.95,117,0.430,16.1,18,4,0.0506,17.4,13.3,23.4,19.3,8.60
129S1/SvImJ,f,455483,10.4,10.6,13.1,80.8,1.90,3.50,910,5.70,48.6,17,45.9,16.1,35,14.5,2.29,4.20,114,101,59,1.62,142,149,7.93,117,0.220,13.3,16,5,0.0507,16.8,13,22.9,18.8,8.70
129S1/SvImJ,f,455485,5.69,10.4,13,77.9,1.90,6.50,874,5.90,49.1,17.1,47.1,16.4,34.7,16.1,2.42,6.50,102,94.7,47,1.53,121,152,9.03,121,0.440,15.1,20,5.50,0.0513,15.8,12.5,20.8,18.0,9
129S1/SvImJ,f,455487,6.72,10.1,13.1,81.1,2,3.30,816,5.50,47.9,16.6,47.4,16.4,34.6,15.1,2.22,5.50,98,90.2,64,1.92,130,152,6.89,120,0.370,18.7,19,3.90,0.0472,15.5,12.2,21.4,17.2,8.30
129S1/SvImJ,f,455489,6.97,10.3,14.4,75.4,3.30,6.40,696,5.80,48.7,16.9,47,16.3,34.8,15.2,2.38,4.60,93,86.9,43,1.33,143,150,7.05,118,0.530,18.3,19,4.20,0.0501,16.1,13.1,18.8,18.2,8.70
129S1/SvImJ,f,455491,8.17,10.2,7.70,87.4,2,2.20,833,5.90,47.9,16.7,46.9,16.3,34.8,16,2.37,4,98,91.5,76,1.78,162,150,8.19,119,0.390,14.1,19,5.20,0.0522,18.0,13.9,22.9,20.2,8.90
129S1/SvImJ,f,459961,3.24,11,18.7,70.8,2.50,7.50,830,5.70,51.1,17.1,46.4,15.5,33.4,14.5,2.19,6.10,,,,,,,,,,,,,,,,,,
129S1/SvImJ,m,455493,6.53,10.5,13.7,81.7,2.40,1.90,844,5.70,47.6,16.7,45.5,15.9,35,13.3,2.08,3.40,139,145,128,2.57,170,150,8.01,113,0.480,20.1,24,5.20,0.0556,24.5,19.1,22.0,27.9,9.20
