Phenotype data set -- Mouse Phenome Database (phenome.jax.org),,,,,,
"Data set: CGDpheno2    Title: Variation over time for C57BL/6J controls, multi-system survey of mouse physiology    Year: 2009",,,,,,
Table of individual animal values,,,,,,
For metadata and more info please see:  http://phenome.jax.org/db/q?rtn=projects/details&sym=CGDpheno2&mlistmode=varnames,,,,,,
,,,,,,
strain,sex,id,age,testdate,parameter,value
C57BL/6J,f,444677,10,7/25/2002,carbon dioxide,18.2
C57BL/6J,f,444677,10,7/25/2002,chloride,118
C57BL/6J,f,444677,10,7/25/2002,potassium,5.93
C57BL/6J,f,444677,10,7/25/2002,sodium,151
C57BL/6J,f,444677,11,7/25/2002,pctEOS,2.7
C57BL/6J,f,444677,11,7/25/2002,HCT,44.3
C57BL/6J,f,444677,11,7/25/2002,HDW,2.23
C57BL/6J,f,444677,11,7/25/2002,pctLYMP,89.5
C57BL/6J,f,444677,11,7/25/2002,MCH,15.5
C57BL/6J,f,444677,11,7/25/2002,MCHC,34.1
C57BL/6J,f,444677,11,7/25/2002,MCV,45.4
C57BL/6J,f,444677,11,7/25/2002,pctMONO,1.1
C57BL/6J,f,444677,11,7/25/2002,MPV,4.7
C57BL/6J,f,444677,11,7/25/2002,pctNEUT,6.1
C57BL/6J,f,444677,11,7/25/2002,PLT,1098
C57BL/6J,f,444677,11,7/25/2002,RBC,9.76
C57BL/6J,f,444677,11,7/25/2002,RDW,14.2
C57BL/6J,f,444677,11,7/25/2002,pct Retic,5.1
C57BL/6J,f,444677,11,7/25/2002,WBC,8.47
C57BL/6J,f,444677,11,7/25/2002,mHGB,15.1
C57BL/6J,f,444677,12,8/2/2002,pctFat,19.5
C57BL/6J,f,444677,12,8/2/2002,BMD,0.0469
C57BL/6J,f,444677,12,8/2/2002,LTM,12.8
C57BL/6J,f,444677,12,8/2/2002,bodylength,0
C57BL/6J,f,444677,12,8/2/2002,bodyweight,17.6
C57BL/6J,f,444677,12,8/2/2002,TTM,15.9
C57BL/6J,f,444677,12,8/21/2002,CHOL,84
C57BL/6J,f,444677,12,8/21/2002,GLU,136
C57BL/6J,f,444677,12,8/21/2002,HDLD,63.9
C57BL/6J,f,444677,12,8/21/2002,NEFA,0.89
C57BL/6J,f,444677,12,8/21/2002,T4,7.4
C57BL/6J,f,444677,12,8/21/2002,TBIL,0.43
C57BL/6J,f,444677,12,8/21/2002,TG,49
C57BL/6J,f,444678,10,7/25/2002,carbon dioxide,15
C57BL/6J,f,444678,10,7/25/2002,chloride,119
C57BL/6J,f,444678,10,7/25/2002,potassium,7.91
C57BL/6J,f,444678,10,7/25/2002,sodium,150
C57BL/6J,f,444678,11,7/25/2002,pctEOS,1.8
C57BL/6J,f,444678,11,7/25/2002,HCT,43.2
C57BL/6J,f,444678,11,7/25/2002,HDW,2.24
C57BL/6J,f,444678,11,7/25/2002,pctLYMP,88.1
C57BL/6J,f,444678,11,7/25/2002,MCH,15.3
C57BL/6J,f,444678,11,7/25/2002,MCHC,34.7
C57BL/6J,f,444678,11,7/25/2002,MCV,44.2
C57BL/6J,f,444678,11,7/25/2002,pctMONO,0.8
C57BL/6J,f,444678,11,7/25/2002,MPV,5.2
C57BL/6J,f,444678,11,7/25/2002,pctNEUT,8.5
C57BL/6J,f,444678,11,7/25/2002,PLT,1218
C57BL/6J,f,444678,11,7/25/2002,RBC,9.78
C57BL/6J,f,444678,11,7/25/2002,RDW,13.2
C57BL/6J,f,444678,11,7/25/2002,pct Retic,4.9
C57BL/6J,f,444678,11,7/25/2002,WBC,9.27
C57BL/6J,f,444678,11,7/25/2002,mHGB,15
C57BL/6J,f,444678,12,8/2/2002,pctFat,19.9
C57BL/6J,f,444678,12,8/2/2002,BMD,0.0476
C57BL/6J,f,444678,12,8/2/2002,LTM,14
C57BL/6J,f,444678,12,8/2/2002,bodylength,0
C57BL/6J,f,444678,12,8/2/2002,bodyweight,19.4
C57BL/6J,f,444678,12,8/2/2002,TTM,17.5
C57BL/6J,f,444678,12,8/21/2002,BUN,17
C57BL/6J,f,444678,12,8/21/2002,CHOL,73
C57BL/6J,f,444678,12,8/21/2002,GLU,182
C57BL/6J,f,444678,12,8/21/2002,HDLD,56.4
C57BL/6J,f,444678,12,8/21/2002,NEFA,1.2
C57BL/6J,f,444678,12,8/21/2002,T4,5.1
C57BL/6J,f,444678,12,8/21/2002,TBIL,0.4
C57BL/6J,f,444678,12,8/21/2002,TG,62
C57BL/6J,f,444679,10,7/25/2002,carbon dioxide,19.8
C57BL/6J,f,444679,10,7/25/2002,chloride,118
C57BL/6J,f,444679,10,7/25/2002,potassium,6.09
C57BL/6J,f,444679,10,7/25/2002,sodium,151
C57BL/6J,f,444679,11,7/25/2002,pctEOS,2.2
C57BL/6J,f,444679,11,7/25/2002,HCT,45.8
C57BL/6J,f,444679,11,7/25/2002,HDW,2.17
C57BL/6J,f,444679,11,7/25/2002,pctLYMP,91
C57BL/6J,f,444679,11,7/25/2002,MCH,15.2
C57BL/6J,f,444679,11,7/25/2002,MCHC,33.4
C57BL/6J,f,444679,11,7/25/2002,MCV,45.4
C57BL/6J,f,444679,11,7/25/2002,pctMONO,0.6
C57BL/6J,f,444679,11,7/25/2002,MPV,5
C57BL/6J,f,444679,11,7/25/2002,pctNEUT,5.3
C57BL/6J,f,444679,11,7/25/2002,PLT,989
C57BL/6J,f,444679,11,7/25/2002,RBC,10.1
C57BL/6J,f,444679,11,7/25/2002,RDW,14
C57BL/6J,f,444679,11,7/25/2002,pct Retic,5.4
C57BL/6J,f,444679,11,7/25/2002,WBC,10.3
C57BL/6J,f,444679,11,7/25/2002,mHGB,15.3
C57BL/6J,f,444679,12,8/2/2002,pctFat,16.8
C57BL/6J,f,444679,12,8/2/2002,BMD,0.0482
C57BL/6J,f,444679,12,8/2/2002,LTM,14.4
C57BL/6J,f,444679,12,8/2/2002,bodylength,0
C57BL/6J,f,444679,12,8/2/2002,bodyweight,19.1
C57BL/6J,f,444679,12,8/2/2002,TTM,17.3
C57BL/6J,f,444679,12,8/21/2002,BUN,21
C57BL/6J,f,444679,12,8/21/2002,CHOL,72
C57BL/6J,f,444679,12,8/21/2002,GLU,194
C57BL/6J,f,444679,12,8/21/2002,HDLD,56.1
C57BL/6J,f,444679,12,8/21/2002,NEFA,1.19
C57BL/6J,f,444679,12,8/21/2002,T4,5.8
C57BL/6J,f,444679,12,8/21/2002,TBIL,0.29
C57BL/6J,f,444679,12,8/21/2002,TG,62
C57BL/6J,f,451208,10,8/17/2002,carbon dioxide,17.8
C57BL/6J,f,451208,10,8/17/2002,chloride,115
C57BL/6J,f,451208,10,8/17/2002,potassium,8.02
C57BL/6J,f,451208,10,8/17/2002,sodium,148
C57BL/6J,f,451208,11,8/14/2002,pctEOS,3.4
C57BL/6J,f,451208,11,8/14/2002,HCT,47.7
C57BL/6J,f,451208,11,8/14/2002,HDW,2.31
C57BL/6J,f,451208,11,8/14/2002,pctLYMP,85.8
C57BL/6J,f,451208,11,8/14/2002,MCH,15
C57BL/6J,f,451208,11,8/14/2002,MCHC,31
C57BL/6J,f,451208,11,8/14/2002,MCV,48.2
C57BL/6J,f,451208,11,8/14/2002,pctMONO,1.9
C57BL/6J,f,451208,11,8/14/2002,MPV,5.1
C57BL/6J,f,451208,11,8/14/2002,pctNEUT,8
C57BL/6J,f,451208,11,8/14/2002,PLT,772
C57BL/6J,f,451208,11,8/14/2002,RBC,9.89
C57BL/6J,f,451208,11,8/14/2002,RDW,14.3
C57BL/6J,f,451208,11,8/14/2002,pct Retic,9.5
C57BL/6J,f,451208,11,8/14/2002,WBC,7.29
C57BL/6J,f,451208,11,8/14/2002,mHGB,14.8
C57BL/6J,f,451208,12,8/23/2002,pctFat,19.1
C57BL/6J,f,451208,12,8/23/2002,BMD,0.0448
C57BL/6J,f,451208,12,8/23/2002,LTM,12.3
C57BL/6J,f,451208,12,8/23/2002,bodylength,8.1
C57BL/6J,f,451208,12,8/23/2002,bodyweight,17.5
C57BL/6J,f,451208,12,8/23/2002,TTM,15.2
C57BL/6J,f,451208,12,9/10/2002,CHOL,67
C57BL/6J,f,451208,12,9/10/2002,GLU,208
C57BL/6J,f,451208,12,9/10/2002,HDLD,55.5
C57BL/6J,f,451208,12,9/10/2002,NEFA,1.57
C57BL/6J,f,451208,12,9/10/2002,T4,5
C57BL/6J,f,451208,12,9/10/2002,TBIL,0.41
C57BL/6J,f,451208,12,9/10/2002,TG,69
C57BL/6J,f,451209,10,8/17/2002,carbon dioxide,18.4
C57BL/6J,f,451209,10,8/17/2002,chloride,112
C57BL/6J,f,451209,10,8/17/2002,potassium,6.78
C57BL/6J,f,451209,10,8/17/2002,sodium,144
C57BL/6J,f,451209,11,8/14/2002,pctEOS,1.5
C57BL/6J,f,451209,11,8/14/2002,HCT,35.5
C57BL/6J,f,451209,11,8/14/2002,HDW,2.38
C57BL/6J,f,451209,11,8/14/2002,pctLYMP,89.5
C57BL/6J,f,451209,11,8/14/2002,MCH,3.3
C57BL/6J,f,451209,11,8/14/2002,MCHC,7.1
C57BL/6J,f,451209,11,8/14/2002,MCV,47
