strain,sex,animal_id,GLU,CHOL,HDL,TG,RBC,WBC,pctLYMP,pctNEUT,pctMONO,pctBASO,pctEOS,pctLUC,pctRetic,RDW,MCV,MCH,MCHC,CHCM,HDW,mHGB,cHGB,HCT,PLT,MPV,systolic_BP,pulse,HR,CV,R_amplitude,RS_amplitude,RR,PQ,PR,QRS,QT,QTc,QT_dispersion,QTc_dispersion,ST,BMD,BMC,bone_area,total_area,LTM,pct_fat,TTM,bw
129S1/SvImJ,f,CCF1F01,140,100,86.8,86,9.89,11.17,84.4,11.1,0.7,0.3,3,0.6,2.7,15.1,47.8,16.2,33.8,31.9,1.88,16,15.1,47.3,771,6.8,,,,,,,,,,,,,,,,0.07,0.31,5.84,9.92,8,13.91,9.71,21.89
129S1/SvImJ,f,CCF1F02,143,104,94.3,56,10.43,12.84,81.4,15.2,1.4,0.3,1.1,0.6,2.5,14.5,47.6,15.8,33.2,31.8,1.95,16.5,15.8,49.7,643,8.5,,,,,,,,,,,,,,,,0.07,0.26,4.83,9.77,7.1,19.88,9.63,24.33
129S1/SvImJ,f,CCF1F03,126,111,86.7,80,9.79,9.67,78.2,17.5,1.5,0.3,1.9,0.6,4.1,16.4,47.4,15.7,33.2,31.8,2.1,15.4,14.8,46.4,762,7.5,,,,,,,,,,,,,,,,0.07,0.27,4.9,9.77,7.95,19.56,10.54,22.25
129S1/SvImJ,f,CCF1F04,161,107,92.6,80,10.22,9.84,90.4,5.9,1.2,0.1,1.8,0.4,3.4,15,48.1,15.9,33,31.4,1.97,16.2,15.4,49.2,923,8.3,,,,,,,,,,,,,,,,0.06,0.25,4.89,10.95,7.65,23.81,10.5,22.57
129S1/SvImJ,f,CCF1F05,155,115,97.7,84,10.7,10.29,89.3,6,1.2,0.2,2.8,0.4,2.4,14.2,47.8,15.9,33.4,31.8,1.98,17.1,16.3,51.1,783,8.3,,,,,,,,,,,,,,,,0.07,0.26,4.93,10.83,7.45,22.98,10.44,23.07
129S1/SvImJ,m,CCF1M01,167,137,122.9,90,10.51,8.9,85.1,10.7,1.3,0.2,2.1,0.6,2.9,13.8,47.5,15.6,32.7,31.3,1.77,16.4,15.7,50,791,7.8,,,,,,,,,,,,,,,,0.06,0.27,5.12,11.63,9.2,21.93,12.41,27.44
129S1/SvImJ,m,CCF1M02,194,139,122.8,95,10.69,7.76,84.9,11,1.6,0.2,1.6,0.7,4.4,14.9,48.9,15.9,32.4,30.6,1.94,17,16,52.3,917,8.6,,,,,,,,,,,,,,,,0.07,0.25,4.8,11.25,8.55,23.53,11.53,26.12
129S1/SvImJ,m,CCF1M03,166,127,115.6,102,10.51,7.26,81.2,14.6,1,0.3,2.5,0.4,2.5,13.8,47.4,15.5,32.6,31.3,1.74,16.3,15.6,49.9,862,6.8,,,,,,,,,,,,,,,,0.06,0.27,5.22,11.61,9.1,21.36,12.02,26.15
129S1/SvImJ,m,CCF1M04,154,128,114.4,108,10.6,9.54,83,12.8,1.7,0.3,1.6,0.7,2.3,13.8,46.6,15.5,33.3,31.9,1.9,16.4,15.7,49.4,876,5.4,,,,,,,,,,,,,,,,0.06,0.25,4.99,11.33,8.7,23.1,11.91,23.57
129S1/SvImJ,m,CCF1M05,191,162,146.1,102,9.65,7.62,89.4,7.1,1,0.4,1.6,0.5,1.9,13.4,48.7,15.9,32.7,32,2.5,15.4,15,47,1089,6.2,,,,,,,,,,,,,,,,0.06,0.27,5.3,10.54,8.8,20.3,11.58,25.53
129SAF1,f,CAF1F01,147,85,74.9,100,10.55,10.15,84.7,11.7,1.2,0.3,1.5,0.8,3.2,13.4,51.5,15.8,30.7,29.5,1.41,16.7,16,54.3,1231,6.7,66.6,555,669,2.08,470.05,772.01,89.7,18.5,23.1,9.4,44.4,46.8,30.5,31.7,35.4,0.06,0.29,5.53,10.74,8.4,14.8,10.42,22.91
129SAF1,f,CAF1F02,105,86,79.8,55,9.66,7.05,82.2,14.2,0.7,0.2,2.1,0.5,3.5,15.8,50.1,16.4,32.7,31.6,1.93,15.8,15.3,48.4,983,8.6,86.6,373,584,3.65,415.21,575.17,102.9,19,27.9,12.2,57.2,56.4,28,26.7,45.5,,,,,,,,
129SAF1,f,CAF1F03,144,79,76.7,78,9.59,6.95,84.9,10.1,1.5,0.3,2.3,1,2.5,15,48.6,16.1,33.1,32,1.69,15.4,14.9,46.7,1055,7.8,161,652,726,2.56,289.2,494.23,82.7,23.1,29.8,9.7,45.7,50.3,19,20.5,36.5,,,,,,,,
129SAF1,f,CAF1F04,177,100,88.3,146,9.41,10.44,85.5,9.7,1.2,0.4,2.3,0.9,3.4,14.6,47.4,15.9,33.5,33,1.88,15,14.7,44.6,1009,4.9,118,443,577,3.18,514.11,729.02,104.1,20.3,29.6,12.7,52,51.1,26.5,26.2,39.8,,,,,,,,
129SAF1,f,CAF1F05,156,96,86.4,69,9.01,4.65,83.4,9.3,1.1,0.4,5.3,0.4,2.1,14.3,48.7,18.6,38.3,31.7,1.79,16.8,13.9,43.8,2297,8.5,139,528,690,1.49,463.18,707.27,86.9,22.1,30.3,11.6,50.1,53.7,14.5,14.8,38.9,0.08,0.31,5.35,10.55,9.05,18.2,11.54,25.08
129SAF1,m,CAF1M01,198,108,95.7,143,9.54,8.52,87.1,9.7,0.9,0.1,1.2,0.9,3.2,13.6,47.7,15.8,33.1,31.9,1.76,15.1,14.5,45.4,1136,4.8,76.1,590,753,0.64,382.41,449.68,79.7,22.8,30.6,11.2,44.2,49.5,12,13.1,33.5,0.06,0.22,4.56,12.37,10.1,26.81,14.59,30.71
