strain,sex,animal_id,RBC,WBC,LYM,LYM_pct,NEUT,NEUT_pct,MONO,MONO_pct,EOS,EOS_pct,BASO,BASO_pct,RDW,MCV,HGB,PLT,MPV
129S1/SvImJ,m,1,10.38,6.86,5.02,73.18,1.38,20.12,0.38,5.54,0.08,1.17,0.01,0.15,17.6,62.5,15.1,470,4.4
129S1/SvImJ,m,2,10.66,5.84,4.12,70.55,1.29,22.09,0.34,5.82,0.07,1.20,0.02,0.34,17.3,62.4,15.6,576,4.4
129S1/SvImJ,m,3,10.32,6.50,4.63,71.23,1.43,22.00,0.38,5.85,0.06,0.92,0.01,0.15,16.5,62.6,15.4,426,4.2
129S1/SvImJ,m,4,10.13,5.12,3.62,70.70,1.16,22.66,0.29,5.66,0.05,0.98,0.00,0.00,17.3,62.5,14.8,454,4
129S1/SvImJ,m,5,7.76,3.78,2.77,73.28,0.77,20.37,0.21,5.56,0.03,0.79,0.00,0.00,16.3,63.7,11.3,412,4.1
A/J,m,10,9.5,5.30,3.91,73.77,0.95,17.92,0.36,6.79,0.06,1.13,0.01,0.19,19.3,48.7,13.8,1004,5.4
A/J,m,11,9.18,7.72,6.03,78.11,1.28,16.58,0.32,4.15,0.09,1.17,0.01,0.13,20.1,47.9,13,1027,5.2
A/J,m,6,9.68,5.78,4.01,69.38,1.41,24.39,0.28,4.84,0.07,1.21,0.01,0.17,19.5,49.4,13.6,1003,5.1
A/J,m,7,9.95,5.92,4.00,67.57,1.38,23.31,0.39,6.59,0.10,1.69,0.05,0.84,19.1,48.2,14.3,987,5.3
A/J,m,8,9.88,7.94,5.90,74.31,1.41,17.76,0.46,5.79,0.16,2.02,0.02,0.25,19.3,49,14.4,1014,5.4
A/J,m,9,9.99,5.38,3.83,71.19,1.19,22.12,0.29,5.39,0.06,1.12,0.01,0.19,19.5,48.5,13.9,1062,5.1
C57BL/6J,m,12,10.09,10.52,6.81,64.73,2.42,23.00,1.06,10.08,0.18,1.71,0.04,0.38,18,45.6,14.9,943,5.3
C57BL/6J,m,13,10.17,10.92,7.22,66.12,2.54,23.26,1.04,9.52,0.09,0.82,0.03,0.27,18.3,46.2,15.2,843,5.2
C57BL/6J,m,14,10.42,9.88,6.57,66.50,2.15,21.76,0.86,8.70,0.23,2.33,0.07,0.71,18.6,46.4,15.9,953,5.1
C57BL/6J,m,15,10.89,11.80,7.67,65.00,2.78,23.56,1.10,9.32,0.18,1.53,0.07,0.59,18.6,46.1,15.7,1230,5.5
C57BL/6J,m,16,9.81,10.50,7.06,67.24,2.26,21.52,0.88,8.38,0.23,2.19,0.07,0.67,17.9,46.1,14.3,610,5.6
C57BL/6J,m,17,11.51,10.82,6.86,63.40,2.59,23.94,1.23,11.37,0.11,1.02,0.02,0.18,18.9,45.4,17,1100,5.2
CAST/EiJ,m,18,12.95,12.08,8.27,68.46,2.54,21.03,0.53,4.39,0.53,4.39,0.22,1.82,19.1,45.9,17.4,581,4.5
CAST/EiJ,m,19,11.79,7.98,6.08,76.19,1.59,19.92,0.27,3.38,0.03,0.38,0.01,0.13,18.8,46.7,15.9,581,4.2
CAST/EiJ,m,20,12.08,7.36,5.58,75.82,1.41,19.16,0.26,3.53,0.09,1.22,0.02,0.27,19.6,47,16,715,4.2
CAST/EiJ,m,21,11.49,10.76,8.23,76.49,1.91,17.75,0.43,4.00,0.17,1.58,0.03,0.28,20.2,45.9,15.5,513,4
CAST/EiJ,m,22,12.17,6.12,4.27,69.77,1.00,16.34,0.80,13.07,0.03,0.49,0.02,0.33,21.3,46.2,17,712,4.2
CAST/EiJ,m,23,12.58,9.96,6.39,64.16,2.50,25.10,0.37,3.71,0.55,5.52,0.15,1.51,21.3,46.2,17.3,854,4.6
NOD/ShiLtJ,m,24,10.95,5.50,2.54,46.18,2.50,45.45,0.27,4.91,0.15,2.73,0.03,0.55,16.8,53.8,16.9,1073,5.5
NOD/ShiLtJ,m,25,10.6,7.62,3.27,42.91,3.58,46.98,0.55,7.22,0.16,2.10,0.07,0.92,16.9,54.7,18.1,989,5.2
NOD/ShiLtJ,m,26,10.02,9.22,4.11,44.58,3.89,42.19,0.73,7.92,0.38,4.12,0.11,1.19,17.4,54.2,16.9,956,5.2
NOD/ShiLtJ,m,27,8.52,9.30,4.91,52.80,3.41,36.67,0.46,4.95,0.39,4.19,0.14,1.51,17.7,54.6,14.4,787,5.5
NOD/ShiLtJ,m,28,10.57,7.64,3.41,44.63,3.40,44.50,0.56,7.33,0.22,2.88,0.05,0.65,16.7,53.9,17.1,1190,5.3
NOD/ShiLtJ,m,29,10.1,8.38,4.03,48.09,3.54,42.24,0.58,6.92,0.18,2.15,0.05,0.60,17,54.2,16.5,901,5.2
NOD/ShiLtJ,m,30,8.56,6.96,4.22,60.63,2.06,29.60,0.55,7.90,0.11,1.58,0.02,0.29,17.8,57.3,13.7,522,5.6
NOD/ShiLtJ,m,31,8.88,3.70,1.85,50.00,1.62,43.78,0.20,5.41,0.03,0.81,0.00,0.00,16.3,56,13.9,826,4.6
