strain,sex,animal_id,ALT,ALP,AST,CK,GLU,HDL,HGB,LDH,LDL,MCH,MCHC,MCV,PLT,RBC,WBC,ALB,amylase,calcium,chloride,CHOL,creatinine,ferritin,FFA,iron,LYMP,MONO,phosphorus,potassium,sodium,TBIL,total,transferrin,TG,BUN,uric_acid
129S2/SvPas,f,32898,28,88,60,208,103,80.0,,215,,,,,,,,2.70,661,9.36,114,117,0.307,,,22.7,,,6.11,4.30,151,3.20,4.70,,140,92.4,
129S2/SvPas,f,32899,18,94,62,281,79.2,76.8,,194,12.9,,,,,,,2.60,676,9.32,117,106,0.261,,,14.3,,,4.12,4.10,151,2.80,4.90,,97.0,63.0,
129S2/SvPas,f,32900,40,76,141,1898,81,88.1,,422,18.7,,,,,,,2.60,758,9.52,117,131,0.250,,1.42,15,,,5.55,4.80,153,,4.60,,127,52.8,
129S2/SvPas,f,32901,22,89,71,218,93.6,79.2,,195,18.3,,,,,,,2.50,619,9.48,117,114,0.250,,,16.6,,,5.74,4.50,153,3.90,4.40,,147,49.8,
129S2/SvPas,f,32902,20,128,57,235,79.2,94.0,,185,24.6,,,,,,,2.80,724,9.76,115,138,0.261,,,17.2,,,5.61,4.30,151,2.50,5,,239,51.6,
129S2/SvPas,f,32903,14,105,76,371,81,54.2,,221,14.8,,,,,,,3,644,9.56,113,82.3,0.250,,1.27,30.7,,,3.78,3.80,152,3,5.20,,65.0,25.8,
129S2/SvPas,f,32904,19,131,61,156,82.8,69.8,,192,,,,,,,,2.90,760,8.56,110,103,0.261,,1.38,16.4,,,4.50,4,150,1.90,5.90,,105,40.8,
129S2/SvPas,f,32905,18,154,71,337,86.4,75.7,,280,15.6,,,,,,,3.10,780,9,112,111,0.295,,1.58,20,,,5.24,4.70,158,2.40,6,,102,51.0,
129S2/SvPas,f,32906,22,136,54,168,91.8,70.6,,213,13.3,,,,,,,3.10,752,9.84,115,101,0.250,,1,16.9,,,5.18,4.20,153,1.90,5.50,,85.4,54.0,
129S2/SvPas,f,32907,19,134,60,213,90,68.2,,191,16.0,,,,,,,3,691,9.60,114,102,0.273,,0.990,20.1,,,5.36,4.20,152,2.10,5.50,,109,52.2,
129S2/SvPas,f,32908,16,141,60,407,73.8,80.3,,225,17.9,,,,,,,2.90,704,9.52,113,107,0.227,,,14,,,5.46,4.30,150,2.10,5,,124,39.0,
129S2/SvPas,f,32909,19,148,67,262,84.6,80.3,,203,15.6,,,,,,,3,755,8.96,114,108,0.239,,1.53,15.6,,,4.99,3.80,156,2.10,4.90,,75.7,54.0,
129S2/SvPas,f,32910,93,136,171,1711,91.8,76.4,,820,,,,,,,,3,703,8.96,116,103,0.261,,1.04,28.6,,,6.32,4.90,156,1.70,4.80,,57.9,50.4,
129S2/SvPas,f,32911,15,122,51,129,104,79.2,,161,17.2,,,,,,,2.90,674,9.28,114,103,0.261,,0.860,22.1,,,6.45,4.30,151,2,5.60,,81.9,48.0,
129S2/SvPas,f,32912,21,129,67,293,66.6,80.0,,238,17.2,,,,,,,2.90,659,9.40,113,107,0.227,,1.13,16.9,,,6.01,4.70,151,1.90,5,,87.2,45.6,
129S2/SvPas,f,32913,30,140,63,304,93.6,85.4,,244,19.1,,,,,,,3.20,734,9.52,114,113,0.250,,1.20,27.6,,,4.31,4.70,151,2.50,5.20,,66.8,54.0,
129S2/SvPas,f,32914,37,132,61,249,103,79.2,,313,,,,,,,,3.10,788,,114,111,0.250,,,20.3,,,,4.30,152,2.50,,,76.5,,
129S2/SvPas,f,32915,17,142,52,78,110,87.4,,208,19.9,,,,,,,2.90,807,9.52,113,114,0.250,,1.03,28.1,,,5.15,4.10,149,2.10,5.40,,114,46.2,
129S2/SvPas,f,32916,25,137,80,461,73.8,86.2,,314,21.4,,,,,,,3,732,9.36,116,119,0.227,,0.990,,,,5.58,4.70,154,1.90,4.90,,101,50.4,
129S2/SvPas,f,32917,34,140,48,104,73.8,86.6,,322,8.58,,,,,,,3,848,8.88,114,120,0.250,,1.62,,,,5.95,4.90,154,1.80,5.40,,119,60.0,
129S2/SvPas,f,33157,,,,,55.8,,,,,,,,,,,,,,105,,0.330,,,,,,,5.70,145,,,,,52.8,
129S2/SvPas,f,33158,,,,,85.3,,,,,,,,,,,3.18,,9.48,104,86.2,0.295,,,,,,6.51,6.10,145,,5.71,,,55.2,
129S2/SvPas,f,33159,,,,,63.5,,,,,,,,,,,,,8.68,107,,0.284,,,,,,,6.10,147,,,,,52.8,
129S2/SvPas,f,33160,,,,,,,,,,,,,,,,,,,106,,,,,,,,,6.10,146,,,,,,
129S2/SvPas,f,33161,,,,,73.1,,,,,,,,,,,,,8.80,105,,0.250,,,,,,,5.70,145,,3.40,,,43.8,
