strain,sex,animal_id,WBC,RBC,RDW,MCV,MCH,MCHC,HGB,HCT,PLT,MPV,PDW,PLCR,PCT
129S1/SvImJ,f,30250373,5.2,10.71,15.0,50,16.4,32.8,17.6,53.6,430,5.3,4.6,0.5,0.23
129S1/SvImJ,f,30250374,7.1,11.42,14.9,50,16.5,33.2,18.9,56.9,482,5.4,4.5,1.9,0.26
129S1/SvImJ,f,30250377,5.3,12.21,15.7,48,15.7,32.6,19.2,58.9,634,5.4,4.7,1.2,0.34
129S1/SvImJ,f,30260210,6.4,10.27,14.4,48,15.5,32.4,15.9,49.0,548,5.3,4.4,0.2,0.29
129S1/SvImJ,f,30260211,8.4,11.21,14.5,48,15.8,32.6,17.7,54.3,568,5.4,4.4,1.4,0.31
129S1/SvImJ,f,30260212,7.2,10.83,14.7,49,16.7,33.8,18.1,53.5,707,5.5,4.7,1.1,0.39
129S1/SvImJ,f,30270556,9.0,11.26,14.7,48,15.9,33.4,17.9,53.6,408,5.6,4.9,0.8,0.23
129S1/SvImJ,f,30270557,10.4,15.70,14.8,46,15.5,33.8,24.3,72.0,581,5.6,4.9,1.7,0.33
129S1/SvImJ,f,30280252,8.1,11.85,14.7,49,15.9,32.5,18.8,57.8,495,5.5,4.4,1.8,0.27
129S1/SvImJ,f,30280253,6.7,12.18,15.1,48,15.8,32.6,19.2,58.9,441,5.6,4.6,2.0,0.25
129S1/SvImJ,m,30250372,8.2,10.88,14.8,48,15.3,32.1,16.7,52.1,521,5.8,4.9,3.1,0.30
129S1/SvImJ,m,30250375,9.8,12.05,15.2,48,14.9,31.5,18.0,57.2,777,5.6,5.0,0.5,0.43
129S1/SvImJ,m,30250376,11.3,11.79,14.9,48,15.1,31.3,17.8,56.8,720,5.5,4.8,0.5,0.39
129S1/SvImJ,m,30260207,8.1,11.82,14.6,46,15.1,32.7,17.9,54.8,748,5.3,4.7,0.3,0.40
129S1/SvImJ,m,30260208,7.4,11.09,14.6,46,14.8,32.0,16.4,51.3,762,5.4,4.5,1.2,0.41
129S1/SvImJ,m,30270559,9.6,12.61,14.1,46,15.2,33.0,19.2,58.1,785,5.4,4.8,0.3,0.43
129S1/SvImJ,m,30270560,8.1,12.08,14.1,46,15.2,33.2,18.4,55.5,720,5.6,4.9,1.8,0.41
129S1/SvImJ,m,30270561,10.2,11.80,13.9,48,15.3,32.3,18.1,56.0,647,5.4,4.4,0.2,0.35
129S1/SvImJ,m,30270562,11.2,12.59,13.9,46,14.9,32.3,18.8,58.2,773,5.7,4.9,1.7,0.44
129S1/SvImJ,m,30280247,7.7,12.95,15.0,47,15.4,32.7,19.9,60.9,719,5.4,4.4,0.7,0.39
129S1/SvImJ,m,30280248,5.0,12.73,15.1,46,15.2,32.8,19.4,59.1,825,5.4,4.7,0.6,0.45
129S1/SvImJ,m,30280249,6.8,12.23,15.0,47,15.0,32.0,18.4,57.5,660,5.3,4.3,0.8,0.35
A/J,f,30250367,7.0,9.87,14.3,48,15.9,33.5,15.7,46.9,974,6.2,5.2,2.8,0.61
A/J,f,30250368,3.8,9.67,14.2,47,15.5,33.0,15.0,45.5,747,7.2,6.8,8.0,0.54
A/J,f,30250369,3.9,9.82,13.9,48,15.5,32.5,15.2,46.8,863,6.1,5.5,1.9,0.53
A/J,f,30260203,3.9,9.99,14.5,49,16.3,33.6,16.3,48.5,926,6.1,5.3,2.1,0.57
A/J,f,30260204,2.0,9.70,15.1,50,16.5,33.0,16.0,48.5,904,6.5,6.1,2.8,0.59
A/J,f,30260205,3.1,10.31,14.5,48,15.9,33.2,16.4,49.4,945,6.2,5.3,2.1,0.58
A/J,f,30270577,2.3,11.13,13.4,45,15.4,34.1,17.1,50.2,1409,6.3,5.7,2.1,0.89
A/J,f,30270578,2.8,10.69,13.4,46,16.1,35.3,17.2,48.7,1253,6.2,5.2,2.0,0.77
A/J,f,30280287,2.2,10.18,13.8,48,16.0,33.5,16.3,48.6,823,6.3,5.3,2.9,0.52
A/J,f,30280288,2.1,9.82,14.0,48,16.3,34.1,16.0,46.9,841,6.1,5.3,2.1,0.51
A/J,m,30250363,6.1,10.03,14.1,47,15.3,32.6,15.3,46.9,924,6.1,5.3,2.1,0.57
A/J,m,30250364,7.7,10.12,14.1,47,16.2,34.4,16.4,47.7,862,6.2,5.4,2.8,0.53
A/J,m,30250365,7.1,9.76,13.9,47,15.9,33.8,15.5,45.8,865,6.0,5.3,1.7,0.52
A/J,m,30260199,2.3,9.60,14.6,49,16.3,33.1,15.6,47.1,1030,6.1,5.3,1.6,0.63
A/J,m,30260200,3.5,10.62,14.6,49,15.5,31.9,16.5,51.8,1049,6.0,5.1,1.8,0.63
A/J,m,30260201,8.0,9.81,14.5,48,15.4,32.2,15.1,46.9,985,5.9,5.0,1.6,0.58
A/J,m,30270580,4.9,8.54,13.9,47,16.3,34.9,13.9,39.8,1072,6.1,5.1,2.0,0.66
A/J,m,30270581,5.2,9.95,13.4,46,15.6,33.8,15.5,45.8,1218,6.3,5.7,2.3,0.77
A/J,m,30270582,4.6,10.07,14.1,48,16.4,34.4,16.5,48.0,1149,6.4,5.8,2.5,0.73
A/J,m,30280282,3.8,9.64,13.9,47,15.8,33.3,15.2,45.6,946,6.0,5.2,2.0,0.57
A/J,m,30280283,4.8,9.66,14.3,47,15.5,32.9,15.0,45.6,1033,5.9,5.0,1.9,0.61
A/J,m,30280284,6.2,9.78,14.4,48,15.5,32.3,15.2,47.0,1109,6.0,5.0,2.1,0.67
C57BL/6J,f,30250379,7.8,10.01,13.7,50,16.2,32.1,16.2,50.4,979,6.0,5.2,1.0,0.58
C57BL/6J,f,30250380,8.5,10.47,13.8,50,15.9,31.4,16.6,52.8,942,6.2,5.5,2.0,0.58
C57BL/6J,f,30250381,9.6,10.79,13.9,49,15.2,31.1,16.4,52.7,1024,6.2,5.2,2.4,0.63
C57BL/6J,f,30260218,6.5,10.75,14.6,49,15.3,31.1,16.4,52.7,1026,6.2,5.6,2.0,0.63
C57BL/6J,f,30260219,6.5,11.70,14.7,51,15.6,30.8,18.2,59.1,1113,6.7,6.3,3.7,0.75
C57BL/6J,f,30260220,4.8,10.00,14.2,48,15.7,32.5,15.7,48.3,988,6.1,5.2,1.8,0.60
C57BL/6J,f,30270614,7.5,10.30,15.6,49,15.0,30.5,15.4,50.5,810,6.3,5.4,2.6,0.51
C57BL/6J,f,30270615,8.1,10.20,15.0,49,15.1,30.8,15.4,50.0,903,7.0,6.9,5.3,0.63
C57BL/6J,f,30280244,7.9,11.46,15.5,50,15.6,31.2,17.9,57.3,959,6.3,5.6,2.5,0.60
C57BL/6J,f,30280245,7.1,11.16,15.7,50,15.9,31.7,17.8,56.2,1031,6.5,5.9,2.8,0.67
C57BL/6J,m,30250383,12.7,10.19,14.7,50,15.4,30.8,15.7,51.0,1164,6.1,5.3,1.8,0.71
C57BL/6J,m,30250384,13.9,10.40,14.3,49,15.6,31.8,16.2,51.0,1061,6.1,5.2,2.4,0.65
C57BL/6J,m,30250385,10.4,10.43,14.6,49,15.3,31.1,16.0,51.4,1095,6.2,5.4,2.5,0.68
C57BL/6J,m,30260214,7.7,9.74,14.3,48,16.0,33.6,15.6,46.4,1568,6.1,5.3,1.7,0.95
C57BL/6J,m,30260215,11.2,10.53,14.5,48,14.9,31.3,15.7,50.1,1346,6.0,5.3,1.4,0.81
C57BL/6J,m,30260216,7.0,9.83,14.9,47,15.3,32.4,15.0,46.3,1310,6.0,5.3,1.6,0.79
