strain,sex,animal_id,WBC,NEUT,LYMP,pct_NEUT,pct_LYMP,HGB,PLT,adenoma_lung,carcinoma_lung,lymphoid_tumor,myeloid_tumor,GI_tumor,adenoma_lung_enu,carcinoma_lung_enu,lymphoid_tumor_enu,myeloid_tumor_enu,GI_tumor_enu
129S1/SvImJ,f,2226,6.08,1.60,4.08,26.4,67,14,486,,,,,,0,0,0,0,0
129S1/SvImJ,f,2227,6.78,1.84,4.65,27.2,68.5,14.1,381,,,,,,0,0,0,0,0
129S1/SvImJ,f,2228,9.06,1.88,6.63,20.7,73.2,16.1,569,,,,,,0,0,0,0,0
129S1/SvImJ,f,2229,7.82,1.72,5.69,22,72.8,15.8,423,,,,,,0,0,0,0,0
129S1/SvImJ,f,2337,6.80,2.22,4.23,32.6,62.2,15.3,549,,,,,,0,0,0,0,0
129S1/SvImJ,f,2338,8.34,2.71,5.17,32.5,62,15.9,766,,,,,,0,0,0,0,0
129S1/SvImJ,f,2339,7.28,2.40,4.34,33,59.7,16,561,0,0,0,0,0,,,,,
129S1/SvImJ,f,2340,3.56,1.31,2.09,36.7,58.6,15,509,0,0,0,0,0,,,,,
129S1/SvImJ,f,2375,8.74,2.06,6.19,23.6,70.8,16.3,411,0,0,0,0,0,,,,,
129S1/SvImJ,f,2376,5.12,1.35,3.40,26.3,66.3,14.9,406,0,0,0,0,0,,,,,
129S1/SvImJ,f,2377,5.56,1.30,3.90,23.4,70.1,15.4,398,0,0,0,0,0,,,,,
129S1/SvImJ,f,2378,7.64,0.480,6.08,6.25,79.6,15,361,0,0,0,0,0,,,,,
129S1/SvImJ,m,2048,11.4,4.85,6.14,42.5,53.8,17.1,709,,,,,,0,1,0,0,0
129S1/SvImJ,m,2049,11.9,4.61,7.06,38.7,59.2,17.2,677,,,,,,1,0,0,0,0
129S1/SvImJ,m,2050,12.4,5.87,6.28,47.2,50.5,15.8,603,,,,,,0,0,0,0,0
129S1/SvImJ,m,2051,12.9,4.72,7.91,36.7,61.4,17.4,425,,,,,,1,0,1,0,0
129S1/SvImJ,m,2157,12.7,4.49,7.54,35.4,59.5,15.4,417,,,,,,0,0,0,0,0
129S1/SvImJ,m,2158,8.66,2.24,6.06,25.9,70,16.4,452,,,,,,1,0,0,0,0
129S1/SvImJ,m,2159,8.74,3.21,5.24,36.7,59.9,17.2,533,0,0,0,0,0,,,,,
129S1/SvImJ,m,2160,12.6,4.78,7.25,38,57.6,16.7,450,0,0,0,0,0,,,,,
129S1/SvImJ,m,2222,10.7,1.96,7.96,18.4,74.5,16.1,494,0,0,0,0,0,,,,,
129S1/SvImJ,m,2223,6.24,1.17,4.79,18.8,76.8,8.10,268,0,0,0,0,0,,,,,
129S1/SvImJ,m,2224,8.04,1.50,6.15,18.6,76.5,14.2,435,0,0,0,0,0,,,,,
129S1/SvImJ,m,2225,7.74,1.55,5.78,20,74.6,14.8,436,0,0,0,0,0,,,,,
A/J,f,2316,6.54,1.09,5.23,16.6,80,13.8,1257,,,,,,0,0,0,0,0
A/J,f,2317,3.24,0.580,2.28,17.9,70.4,9.20,474,,,,,,0,0,0,0,0
A/J,f,2318,3.92,0.730,2.84,18.6,72.5,12.5,252,,,,,,0,1,0,0,0
A/J,f,2319,2.88,0.490,2.23,16.9,77.4,13.3,877,,,,,,0,1,0,0,0
A/J,f,2360,3.98,0.560,3.19,14.1,80.1,12.6,647,,,,,,0,1,0,0,1
A/J,f,2361,6.60,1.85,4.51,28.1,68.3,13.8,736,,,,,,0,1,0,0,0
A/J,f,2362,6.50,1.06,5.05,16.3,77.7,14,402,0,0,0,0,0,,,,,
A/J,f,2363,5.98,0.910,4.91,15.3,82.2,14.3,730,0,0,0,0,0,,,,,
A/J,f,2379,5.68,1.07,4.26,18.9,75,11.4,694,,,,,,0,0,0,0,0
A/J,f,2380,7.48,1.10,6.11,14.6,81.7,11.6,681,0,0,0,0,0,,,,,
A/J,f,2381,6.38,0.950,5.03,14.9,78.8,12.6,621,,,,,,0,1,0,0,0
A/J,f,2382,3.72,0.800,2.75,21.4,73.9,14.6,658,0,0,0,0,0,,,,,
A/J,m,2266,4.20,0.800,3.23,19.1,76.9,13.2,594,,,,,,1,0,0,0,0
A/J,m,2267,7.52,0.830,6.36,11.1,84.5,14,875,,,,,,0,0,0,0,0
A/J,m,2268,5.98,0.980,4.86,16.3,81.2,13,774,,,,,,0,1,0,0,1
A/J,m,2312,5.84,0.730,4.71,12.6,80.6,15.2,729,,,,,,0,1,0,0,0
A/J,m,2313,4.84,0.800,3.94,16.4,81.4,13.2,1210,,,,,,0,1,0,0,0
A/J,m,2314,5.34,0.980,4.18,18.4,78.3,14.2,821,,,,,,0,1,0,0,0
A/J,m,2315,8.58,1.38,6.77,16,79,13.7,1144,0,0,0,0,0,,,,,
A/J,m,2395,4.02,0.990,2.83,24.7,70.4,13.8,893,0,0,0,0,0,,,,,
A/J,m,2396,3.68,0.750,2.84,20.3,77.2,14.4,1055,0,0,0,0,0,,,,,
A/J,m,2397,4.90,1.04,3.70,21.2,75.5,14.1,1037,1,0,0,0,0,,,,,
A/J,m,2398,7.14,2.25,4.77,31.5,66.8,13.7,1028,1,0,0,0,0,,,,,
A/J,m,2399,5.16,1.30,3.77,25.2,73.1,14.6,990,0,0,0,0,0,,,,,
AKR/J,f,2085,8.10,2.61,4.83,32.2,59.6,16.9,612,,,,,,0,0,1,0,0
AKR/J,f,2086,12.5,3.46,8.62,27.8,69.2,15.2,655,,,,,,0,0,0,1,1
AKR/J,f,2087,9.98,2.53,6.61,25.4,66.2,10.3,697,,,,,,0,0,0,0,0
AKR/J,f,2088,8.06,1.79,5.67,22.2,70.3,15,678,,,,,,0,0,1,0,0
AKR/J,f,2137,12.6,3.47,7.85,27.5,62.2,15.3,701,,,,,,0,0,1,0,0
