strain,sex,animal_id,WBC,LYM,pct_LYM,MONO,pct_MONO,GRA,pct_GRA,RBC,MCV,RDW,MCH,MCHC,HGB,HCT,PLT,MPV
A/J,m,925,1.7,1,60.1,0.2,9.6,0.5,30.3,6.83,47.8,16,15.2,31.8,10.4,32.7,197,6
A/J,m,926,1.2,0.8,64.7,0.1,9.4,0.3,25.9,5.35,47.9,15.7,15.4,32.1,8.2,25.6,144,6
AXB10/PgnJ,m,1101,1.5,1,66.4,0.1,6.3,0.4,27.3,6.7,43.9,16.4,15.7,35.6,10.5,29.4,180,6.3
AXB10/PgnJ,m,1102,1,0.7,69.6,0.1,5.5,0.2,24.9,6.85,44.4,16.1,15.9,35.9,10.9,30.4,315,6.3
AXB12/PgnJ,m,1009,3.3,2.2,68.9,0.3,6.7,0.8,24.4,8.23,48.4,15.5,15.3,31.7,12.6,39.9,237,6.1
AXB12/PgnJ,m,1010,1,0.7,76.7,0.2,4.8,0.1,18.5,6.45,49,15.3,16.3,33.2,10.5,31.6,98,8.8
AXB13/PgnJ,m,1159,1.9,1.5,82.6,0.2,3.3,0.2,14.1,8.72,46.1,16.3,14.5,31.5,12.7,40.2,303,5.7
AXB13/PgnJ,m,1160,4.2,3.2,75.1,0.2,5.9,0.8,19,10.11,46.5,16.4,14.4,31,14.5,47,352,5.7
AXB15/PgnJ,m,1007,1.8,1.2,65.6,0.1,5.8,0.5,28.6,5.4,41.4,17.6,15.4,37.3,8.3,22.3,67,5.7
AXB15/PgnJ,m,1008,0.6,0.4,69.8,0.1,6.1,0.1,24.1,6.4,41.2,17.7,15.8,38.4,10.1,26.4,92,5.9
AXB19/PgnJ,m,1150,1.9,1.5,77.6,0.1,5.1,0.3,17.3,9.17,42.6,17.6,15.5,36.4,14.2,39.1,395,6.2
AXB19/PgnJ,m,1151,3.4,2.6,76.1,0.2,4.9,0.6,19,8.07,42.5,17.1,15.6,36.9,12.6,34.3,277,6
AXB19b/PgnJ,m,1003,0.7,0.4,63.9,0.1,3.3,0.2,32.8,4.45,41.4,17,16.3,39.4,7.2,18.4,64,6.6
AXB19b/PgnJ,m,1004,0.9,0.6,72.6,0.1,3.5,0.2,23.9,5.53,41.8,16.6,16.5,39.4,9.1,23.1,86,6.7
AXB19b/PgnJ,m,1135,5.8,4.9,84.7,0.3,3.6,0.6,11.7,9.42,43.3,17.9,15.3,35.4,14.4,40.8,404,6.1
AXB19b/PgnJ,m,1136,3.8,2.9,77.8,0.3,4.4,0.6,17.8,8.97,43.4,18,15.9,36.6,14.2,38.9,468,5.8
AXB2/PgnJ,m,1005,0.5,0.2,49.3,0.1,8.3,0.2,42.4,2.1,46.4,14.3,17,36.6,3.5,9.7,50,8.6
AXB2/PgnJ,m,1006,2,1.6,82.7,0.2,3.9,0.2,13.4,10.24,48.3,15.8,15.2,31.5,15.6,49.4,463,6.4
AXB23/PgnJ,m,1161,2.2,1.5,70.4,0.2,5.1,0.5,24.5,9.74,48.8,15.6,14.9,30.5,14.5,47.6,264,6.6
AXB23/PgnJ,m,1162,1.4,1,76.9,0.2,5.5,0.2,17.6,4.44,46.8,14.8,15.2,32.5,6.7,20.8,258,6.2
AXB4/PgnJ,m,978,,,,,,,,10.47,38.8,19,14.4,37.2,15.1,40.7,245,5.9
AXB4/PgnJ,m,979,,,,,,,,7.41,38.6,18.2,15.1,39.2,11.2,28.6,180,5.8
AXB5/PgnJ,m,1155,2.7,1.8,67.1,0.2,6.5,0.7,26.4,7.28,51.9,15,16.1,31.1,11.7,37.8,162,6.1
AXB5/PgnJ,m,1156,4.8,3.5,73.5,0.4,7.2,0.9,19.3,7.61,52,14.8,15.7,30.2,11.9,39.5,222,6.8
AXB6/PgnJ,m,1163,6,4.6,76.3,0.3,4.8,1.1,18.9,10.48,46.8,16,14.8,31.7,15.5,49.1,472,6.6
AXB6/PgnJ,m,1164,7.2,5.2,72.7,0.5,5.9,1.5,21.4,10.45,46.9,16,14.3,30.6,15,49,266,6.5
AXB8/PgnJ,m,1109,4.1,3.1,75.7,0.2,4.6,0.8,19.7,9.5,41.3,17.7,15.1,36.5,14.3,39.3,70,6.1
AXB8/PgnJ,m,1110,2.8,1.9,69.3,0.3,8.2,0.6,22.5,7.3,40.9,17.2,15.1,36.9,11,29.9,222,5.8
BALB/cJ,m,968,2.4,1.7,70.2,0.1,4.8,0.6,25,9.65,50,16.9,15.4,30.9,14.9,48.3,482,6.9
BALB/cJ,m,969,1.1,0.8,68.7,0,5.6,0.3,25.7,8.42,50.3,16.6,15.5,30.8,13,42.3,507,6.2
BTBR T<+> Itpr3<tf>/J,m,991,3.9,2.7,70.9,0.3,6.2,0.9,22.9,7.96,51.1,15.4,16.1,31.6,12.8,40.7,248,6.6
BTBR T<+> Itpr3<tf>/J,m,992,5.5,3.8,69.6,0.5,7,1.2,23.4,8.21,52,15.3,15.8,30.4,13,42.7,229,6.3
BXA11/PgnJ,m,1094,2.4,1.7,71.5,0.2,4.5,0.5,24,8.7,50,16.9,15.3,30.7,13.3,43.5,366,6.1
BXA11/PgnJ,m,1095,3.1,2.2,69.8,0.2,6.7,0.7,23.5,7.36,49.1,15.8,15.4,31.5,11.4,36.2,131,6.7
BXA12/PgnJ,m,1089,2.8,2.1,75.9,0.2,4.1,0.5,20,6.78,41.3,17.1,15.1,36.7,10.2,28,145,6
BXA12/PgnJ,m,1090,9.9,7,70.9,0.6,5.1,2.3,24,8.79,42.4,17.4,14.6,34.4,12.8,37.3,168,6.2
BXA13/PgnJ,m,1112,2.2,1.7,78.3,0.2,4.2,0.3,17.5,10.11,48,16.3,15.1,31.5,15.3,48.6,409,6.4
BXA13/PgnJ,m,1113,2.2,1.5,69,0.2,7.5,0.5,23.5,9.86,48.1,16.1,15.1,31.4,14.9,47.4,314,6.5
BXA14/PgnJ,m,1091,1.4,1,71.3,0.1,5.9,0.3,22.8,9.05,48.4,17.8,14.7,30.4,13.3,43.8,443,5.9
BXA14/PgnJ,m,1092,2.4,1.6,65.8,0.2,8.2,0.6,26,6.52,46.6,17.9,15.2,32.6,9.9,30.4,106,6
BXA16/PgnJ,m,1114,0.9,0.6,65.2,0.1,6.6,0.2,28.2,3.17,38,17.2,15.4,40.6,4.9,12,148,5.9
BXA16/PgnJ,m,995,5.8,4.2,71.9,0.3,5.3,1.3,22.8,9.35,40.7,17.7,15,36.9,14,38.1,323,5.9
BXA16/PgnJ,m,996,3.2,2.1,66.4,0.2,5.8,0.9,27.8,8.3,38.1,18.8,14.2,37.4,11.8,31.6,232,5.4
BXA2/PgnJ,m,1011,2.9,2.1,71.7,0.2,5.7,0.6,22.6,9.52,41.2,17.4,14.5,35.3,13.8,39.2,343,5.9
BXA2/PgnJ,m,1012,1.8,1.2,68.6,0.2,6,0.4,25.4,8.85,40.5,17.4,14.8,36.6,13.1,35.8,371,5.9
BXA24/PgnJ,m,1087,3.2,2.2,70.2,0.3,6.8,0.7,23,8.87,43,17.3,15.3,35.6,13.6,38.2,479,6.1
BXA24/PgnJ,m,1088,0.8,0.6,75.3,0.1,5.5,0.1,19.2,8.35,42.7,16.9,15.2,35.7,12.7,35.7,254,6.6
BXA25/PgnJ,m,984,0.9,0.5,61,0.1,7.8,0.3,31.2,3.76,38.5,17.5,16.4,42.5,6.1,14.5,45,6.1
BXA25/PgnJ,m,985,2.5,1.3,54.2,0.3,8.3,0.9,37.5,7.15,38.7,18,13.6,35.3,9.7,27.7,109,6
BXA26/PgnJ,m,1083,4.6,3.8,83.1,0.2,3.5,0.6,13.4,9.69,50.3,15.2,15.2,30.2,14.7,48.8,363,6.5
BXA26/PgnJ,m,1084,1.6,1.1,69.5,0.1,5.8,0.4,24.7,8.24,50.6,14.9,15.7,31.2,13,41.7,232,6.5
BXA4/PgnJ,m,1085,0.8,0.6,76,0.1,6.4,0.1,17.6,8.64,48.5,16.9,15.2,31.3,13.1,41.9,427,6.1
BXA4/PgnJ,m,1086,0.5,0.4,76.1,0,4.9,0.1,19,5.56,47.6,15.8,16.6,34.9,9.2,26.5,88,7.1
BXA7/PgnJ,m,1013,1.3,0.9,72.2,0.2,6.6,0.2,21.2,8.33,46.3,15.6,15.1,32.7,12.6,38.6,377,6.6
BXA7/PgnJ,m,1014,3.9,2.9,74.7,0.2,4.7,0.8,20.6,8.93,46.5,15.7,15.2,32.6,13.5,41.5,598,6.5
