strain,sex,animal_id,WBC8,WBC16,RBC8,RBC16,NEUT8,NEUT16,LYMPH8,LYMPH16,MONO8,MONO16,EOS8,EOS16,BASO8,BASO16,pct_NEUT8,pct_NEUT16,pct_LYMPH8,pct_LYMPH16,pct_MONO8,pct_MONO16,pct_EOS8,pct_EOS16,pct_BASO8,pct_BASO16,PLT8,PLT16,MPV8,MPV16,Retic8,Retic16,pct_Retic8,pct_Retic16,HCT8,HCT16,MCV8,MCV16,HGB8,HGB16,CHr8,CHr16,MCH8,MCH16,MCHC8,MCHC16
B6.129P2-Apoe<tm1Unc>/J,f,10-9,3.76,,10.7,,0.480,,3.09,,0.0200,,0.120,,0.0200,,12.9,,82.1,,0.600,,3.10,,0.500,,864,,5.70,,343,,3.20,,50.8,,47.3,,16.8,,16.6,,15.7,,33.1,
B6.129P2-Apoe<tm1Unc>/J,f,11-10,2.80,,10.8,,0.480,,2.11,,0.0600,,0.110,,0.0100,,17.2,,75.5,,2.10,,4,,0.400,,942,,6.40,,362,,3.30,,50.3,,46.5,,16.8,,16.8,,15.6,,33.4,
B6.129P2-Apoe<tm1Unc>/J,f,2-1,4.60,,10.2,,0.370,,3.97,,0.0900,,0.100,,0.0100,,8.10,,86.3,,2,,2.10,,0.200,,834,,6,,266,,2.60,,48.5,,47.4,,15.8,,16.9,,15.4,,32.6,
B6.129P2-Apoe<tm1Unc>/J,f,3-2,4.60,,10.7,,0.410,,3.92,,0.0600,,0.160,,0.0100,,8.90,,85.2,,1.40,,3.40,,0.300,,808,,6.20,,315,,2.90,,49.7,,46.4,,16.4,,16.4,,15.3,,33,
B6.129P2-Apoe<tm1Unc>/J,f,4-3,3.77,,10.6,,0.430,,3.12,,0.0400,,0.120,,0.0200,,11.3,,82.6,,1,,3.10,,0.500,,733,,5.20,,376,,3.50,,50.3,,47.4,,16,,16.7,,15.1,,31.8,
B6.129P2-Apoe<tm1Unc>/J,f,5-4,3.38,,10.1,,0.570,,2.59,,0.0500,,0.120,,0.0100,,16.8,,76.9,,1.50,,3.60,,0.300,,957,,5.90,,346,,3.40,,47.6,,47.3,,15.7,,16.7,,15.6,,33,
B6.129P2-Apoe<tm1Unc>/J,f,6-5,4.24,,10.1,,0.350,,3.71,,0.0500,,0.0900,,0.0100,,8.20,,87.4,,1.10,,2,,0.300,,1131,,6.10,,277,,2.70,,48,,47.5,,15.9,,16.6,,15.7,,33.1,
B6.129P2-Apoe<tm1Unc>/J,f,7-6,3.07,,10.4,,0.540,,2.33,,0.0400,,0.120,,0.0100,,17.7,,76,,1.40,,4.10,,0.200,,1069,,6.50,,313,,3,,48.9,,46.8,,16.3,,16.5,,15.6,,33.4,
B6.129P2-Apoe<tm1Unc>/J,f,8-7,4.43,,10.6,,0.580,,3.61,,0.0500,,0.140,,0.0100,,13.2,,81.4,,1.10,,3.10,,0.300,,963,,5.60,,304,,2.90,,49.6,,46.6,,16.4,,16.6,,15.4,,33.1,
B6.129P2-Apoe<tm1Unc>/J,f,9-8,5.21,,10.2,,0.660,,4.30,,0.0500,,0.140,,0.0100,,12.6,,82.4,,0.900,,2.70,,0.200,,811,,5.40,,298,,2.90,,48.1,,47.4,,16,,16.7,,15.7,,33.3,
B6.129P2-Apoe<tm1Unc>/J,m,1-11,4.53,,10.6,,0.970,,3.36,,0.0800,,0.0700,,0.0100,,21.3,,74.2,,1.80,,1.50,,0.200,,1089,,7,,358,,3.40,,51.1,,48.2,,16.4,,16.4,,15.5,,32.1,
B6.129P2-Apoe<tm1Unc>/J,m,10-19,2.84,,10.2,,0.480,,2.21,,0.0700,,0.0500,,0.0100,,16.9,,77.8,,2.60,,1.60,,0.200,,1251,,6.40,,373,,3.60,,49.8,,48.6,,16,,16.5,,15.7,,32.1,
B6.129P2-Apoe<tm1Unc>/J,m,12-20,3.25,,10.2,,0.410,,2.74,,0.0300,,0.0400,,0.0100,,12.7,,84.3,,0.900,,1.20,,0.300,,1189,,6.50,,428,,4.20,,49,,48.2,,15.8,,16.8,,15.5,,32.2,
B6.129P2-Apoe<tm1Unc>/J,m,2-12,2.61,,10.6,,0.730,,1.76,,0.0400,,0.0400,,0.0100,,27.8,,67.6,,1.60,,1.40,,0.400,,719,,5.70,,375,,3.50,,51.7,,48.6,,16.4,,16.3,,15.5,,31.7,
B6.129P2-Apoe<tm1Unc>/J,m,3-13,4.04,,9.91,,0.680,,3.19,,0.0400,,0.0800,,0.0200,,16.7,,79.1,,0.900,,2,,0.500,,1129,,6.50,,411,,4.20,,47.8,,48.2,,15.6,,16.3,,15.8,,32.6,
B6.129P2-Apoe<tm1Unc>/J,m,4-14,3.44,,10.6,,0.640,,2.67,,0.0400,,0.0500,,0.0200,,18.7,,77.6,,1.20,,1.40,,0.400,,886,,6.50,,373,,3.50,,50.5,,47.7,,16.3,,16,,15.4,,32.2,
B6.129P2-Apoe<tm1Unc>/J,m,5-15,4.19,,10.5,,1.07,,2.92,,0.0900,,0.0700,,0.0100,,25.5,,69.7,,2.10,,1.60,,0.100,,1059,,6.60,,409,,3.90,,51,,48.6,,16.5,,16.2,,15.8,,32.4,
B6.129P2-Apoe<tm1Unc>/J,m,7-16,3.55,,10.8,,0.780,,2.56,,0.0600,,0.0800,,0.0300,,21.9,,72.2,,1.60,,2.20,,0.800,,623,,5.60,,331,,3.10,,53.1,,49.1,,16.9,,16.2,,15.6,,31.9,
