strain,sex,animal_id,WBC,RBC,mHGB,HCT,MCV,MCH,MCHC,CHCM,RDW,HDW,NEUT,LYM,MONO,EOS,LUC,BASO,Retic,cHGB,PLT,MPV,Fib,PT,PTT
129S1/SvImJ,f,2448F01,9.08,9.02,14.8,43.1,47.8,16.4,34.2,33.3,20.5,4.79,18,72.3,1.8,3.6,0.8,3.5,4.7,14.4,817,5.2,129,10.7,20.9
129S1/SvImJ,f,2448F02,5.4,7.67,13.1,36.3,47.4,17.1,36,33.9,17.1,2.53,10.3,82.1,1.3,4.1,0.6,1.5,3.2,12.3,855,6.7,,10.6,
129S1/SvImJ,f,2448F03,7.01,8.04,13.5,38.8,48.2,16.8,34.9,33.4,19,3.3,13.4,80.4,0.7,2.2,0.5,2.7,3.7,12.9,873,7,,10.6,22.1
129S1/SvImJ,f,2448F04,10.2,8.77,15.2,42.8,48.8,17.3,35.6,33.2,17.5,3.07,19.1,69.2,1.7,5.7,0.7,3.6,4.2,14.2,951,10.7,96.9,8.57,21.1
129S1/SvImJ,f,2448F05,11.5,8.81,14,40.6,46.1,15.8,34.4,33,18,3.29,23.3,64.4,1.2,,0.8,6,4.1,13.4,925,7.3,,9.94,21
129S1/SvImJ,f,2448F06,7.88,8.71,14.2,43.2,49.6,16.3,32.8,33,21.5,5.14,13.9,77.5,1.1,6.8,0.6,5,2.6,14.3,656,5.3,,,
129S1/SvImJ,f,2448F07,7.18,8.91,15,42.1,47.3,16.8,35.5,34.1,16.7,2.53,11.4,80.9,1.1,4.8,0.7,1.2,3.4,14.4,788,4,151,11.7,19.1
129S1/SvImJ,f,2448F08,6.11,8.63,14.9,42.2,48.9,17.2,35.2,33.3,16.5,2.24,18.9,76.2,0.5,3.2,0.4,0.8,2.9,14,866,4.1,84.5,12.5,24.8
129S1/SvImJ,f,2448F09,8.65,9.13,15.4,44,48.2,16.9,35.1,33.8,16.7,2.49,13.2,79.9,1.1,4.1,0.5,1.2,2.4,14.9,518,4.2,205,10.9,18.4
129S1/SvImJ,f,2448F10,9.81,9.32,15.4,42.7,45.9,16.6,36.1,33.6,16.9,2.57,13.5,82.4,0.8,1.9,0.6,0.7,4.7,14.3,783,5.2,118,9.04,20.5
129S1/SvImJ,f,2448F11,9.99,9.25,15.2,42.5,45.9,16.5,35.9,33.7,16.6,2.42,11,85.4,0.7,1.8,0.5,0.6,3.9,14.3,853,4.5,159,9.72,20
129S1/SvImJ,f,2448F12,10.6,9.23,15.1,40.8,44.2,16.3,36.9,34.3,16.1,2.59,8.1,84.5,1.3,4.5,0.7,0.9,2.7,14,773,4.6,202,10.2,17.2
129S1/SvImJ,f,2448F13,8.63,9.58,15.4,42,43.9,16.1,36.6,34.3,16.3,2.62,9.7,86.2,0.8,2.1,0.6,0.7,3.5,14.4,821,4.8,222,10.6,17.1
129S1/SvImJ,f,2448F14,10.7,8.84,14.7,41.1,46.5,16.6,35.8,33.8,16.2,2.22,14.6,74.9,0.8,7.6,0.4,1.7,2.6,13.9,740,4.4,,8.91,17.9
129S1/SvImJ,f,2448F15,,,,,,,,,,,,,,,,,,,,,205,10.2,
129S1/SvImJ,f,2448F16,,,,,,,,,,,,,,,,,,,,,165,10.3,23
129S1/SvImJ,m,2448M01,7.53,10.1,15.5,47.5,46.8,15.3,32.6,34.7,18.6,4.04,12.2,83.3,1.3,2.8,0.4,,3.2,16.5,841,6.4,243,10.8,22.9
129S1/SvImJ,m,2448M02,7.55,10.1,15.4,48.7,48.1,15.2,31.7,34.1,19.9,4.52,11.7,82.8,1.5,3.5,0.6,,5.6,16.6,1140,6.1,236,10.9,23.6
129S1/SvImJ,m,2448M03,8.63,10.6,16.1,48.6,46.1,15.2,33.1,34.9,16.4,2.95,9.6,86.9,1.2,1.8,0.5,,2.3,17,990,6,219,10.3,22
129S1/SvImJ,m,2448M04,7.35,9.72,14.8,46.9,48.2,15.3,31.7,33.9,21.5,5.73,8.3,87.5,1.4,2.3,0.5,,2.4,15.9,795,6,246,11.4,24.5
129S1/SvImJ,m,2448M05,7.36,10.1,15.4,46.6,46,15.2,33,34.4,17.3,3.74,11.7,83.3,1.8,2.7,0.4,,3.1,16.1,1040,7.1,260,11.3,23.5
129S1/SvImJ,m,2448M06,5.52,10.2,15.2,47.4,46.6,15,32.1,34.2,19.9,4.8,13.9,81.9,1.1,2.9,0.2,,3.3,16.2,949,6.8,250,10.4,24.2
129S1/SvImJ,m,2448M07,7.85,10.4,15.5,47.4,45.8,14.9,32.6,34.4,17.5,3.73,10.5,85.6,1.2,2.3,0.4,,2.9,16.3,1060,6.7,282,10.3,23.5
129S1/SvImJ,m,2448M08,5.06,10.8,16.1,49.5,46,15,32.6,34.6,15.6,2.73,12.3,82.1,1.1,4.2,0.3,,3,17.1,785,7.4,255,9.92,21.4
129S1/SvImJ,m,2448M09,7.73,9.99,15.2,46.4,46.4,15.2,32.9,34.9,17.1,3.42,19.1,72.9,,0,0.8,,2.6,16.2,1020,6,330,10.1,22.5
129S1/SvImJ,m,2448M10,5.74,9.47,15.2,45.7,48.2,16,33.2,35.2,16.1,2.27,13.2,78.9,1.2,2.3,0.3,,2.6,16.1,1010,6.4,276,9.88,21
129S1/SvImJ,m,2448M60,9.57,9.95,15.1,42.7,42.9,15.2,35.5,34.1,13.2,2.11,9,86.8,1.5,1.7,0.5,0.5,2,14.6,600,4.2,,,
129S1/SvImJ,m,2448M61,13.2,11.5,17.5,48.6,42.1,15.1,36,34.8,13.3,2.13,13.4,79.2,1.7,3.1,0.4,2.1,1.9,16.9,702,4.2,,,
129S1/SvImJ,m,2448M62,12.6,10.7,16.4,45.3,42.4,15.3,36.2,34.6,12.9,2.11,11.4,84,1.3,1.9,0.4,1,1.8,15.7,551,4.1,,,
129S1/SvImJ,m,2448M63,11,11.2,17.2,46.7,41.8,15.4,36.8,34.8,13.2,2.14,10.7,84.1,1.6,1.6,0.4,1.7,1.9,16.3,811,3.8,,,
